slf_file,obs_file,test_file,slf_condition,slf_pair_pat,slf_order_pat,slf_reward_left,slf_reward_right,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,SLF_INSTR.started,SLF_FIX1.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_LEFT.stopped,SLF_IMG_RIGHT.stopped,SLF_IMG_RESP.stopped,SLF_FIX1.stopped,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_FIX2.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_FIX2.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,SLF_IMG_RESP.rt,SLF_CONF_LOW_BOX.started,SLF_CONF_LOW_TEXT.started,SLF_CONF_HIGH_BOX.started,SLF_CONF_HIGH_TEXT.started,SLF_CONF_RESP.started,SLF_CONF_LOW_BOX.stopped,SLF_CONF_LOW_TEXT.stopped,SLF_CONF_HIGH_BOX.stopped,SLF_CONF_HIGH_TEXT.stopped,SLF_CONF_RESP.stopped,SLF_CONF_RESP.keys,SLF_CONFFB_FRAME.started,SLF_CONFFB_CONF_LOW_BOX.started,SLF_CONFFB_CONF_LOW_TEXT.started,SLF_CONFFB_CONF_HIGH_BOX.started,SLF_CONFFB_CONF_HIGH_TEXT.started,SLF_CONFFB_FRAME.stopped,SLF_CONFFB_CONF_LOW_BOX.stopped,SLF_CONFFB_CONF_LOW_TEXT.stopped,SLF_CONFFB_CONF_HIGH_BOX.stopped,SLF_CONFFB_CONF_HIGH_TEXT.stopped,SLF_CONF_RESP.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,18.222882500005653,18.222882500005653,space,1.3262918739928864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,1,1,30,40,0,0,0,0,0,0,0,0,,,,,,,,,22.591638083016733,24.623180750000756,25.07169337500818,25.07169337500818,25.07169337500818,25.567739999998594,25.567739999998594,25.567739999998594,25.6409123330086,None,0,25.6409123330086,25.6409123330086,25.6409123330086,25.6409123330086,26.154610708006658,26.154610708006658,26.154610708006658,26.154610708006658,26.154610708006658,26.154610708006658,26.154610708006658,26.154610708006658,26.66518762501073,26.66518762501073,26.66518762501073,26.66518762501073,,,,,,,,,,,,,,,,,,,,,,,,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,2,2,50,40,0,0,0,0,0,1,1,1,,,,,,,,,,26.66518762501073,27.15107720802189,27.15107720802189,27.15107720802189,27.637831333006034,27.637831333006034,27.637831333006034,27.664117625012295,None,0,27.664117625012295,27.664117625012295,27.664117625012295,27.664117625012295,28.163959249999607,28.163959249999607,28.163959249999607,28.163959249999607,28.163959249999607,28.163959249999607,28.163959249999607,28.163959249999607,28.67828529101098,28.67828529101098,28.67828529101098,28.67828529101098,,,,,,,,,,,,,,,,,,,,,,,,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,3,1,50,30,0,0,0,0,0,2,2,2,,,,,,,,,,28.67828529101098,29.15537087499979,29.15537087499979,29.15537087499979,29.651067750004586,29.651067750004586,29.651067750004586,29.680259832995944,None,0,29.680259832995944,29.680259832995944,29.680259832995944,29.680259832995944,30.1806732499972,30.1806732499972,30.1806732499972,30.1806732499972,30.1806732499972,30.1806732499972,30.1806732499972,30.1806732499972,30.695476499997312,30.695476499997312,30.695476499997312,30.695476499997312,,,,,,,,,,,,,,,,,,,,,,,,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,2,1,40,50,0,0,0,0,0,3,3,3,,,,,,,,,,30.695476499997312,31.171303125011036,31.171303125011036,31.171303125011036,31.667691458016634,31.667691458016634,31.667691458016634,31.697079166013282,None,0,31.697079166013282,31.697079166013282,31.697079166013282,31.697079166013282,32.19732508301968,32.19732508301968,32.19732508301968,32.19732508301968,32.19732508301968,32.19732508301968,32.19732508301968,32.19732508301968,32.71351883301395,32.71351883301395,32.71351883301395,32.71351883301395,,,,,,,,,,,,,,,,,,,,,,,,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,1,2,40,30,0,0,0,0,0,4,4,4,,,,,,,,,,32.71351883301395,33.18879462502082,33.18879462502082,33.18879462502082,33.68435799999861,33.68435799999861,33.68435799999861,33.714209916011896,None,0,33.714209916011896,33.714209916011896,33.714209916011896,33.714209916011896,34.214477125002304,34.214477125002304,34.214477125002304,34.214477125002304,34.214477125002304,34.214477125002304,34.214477125002304,34.214477125002304,34.740307541011134,34.740307541011134,34.740307541011134,34.740307541011134,,,,,,,,,,,,,,,,,,,,,,,,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,3,2,30,50,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,34.740307541011134,35.2045963749988,35.2045963749988,35.2045963749988,,,,,left,0,35.28173433302436,35.28173433302436,35.28173433302436,35.28173433302436,35.773029666015645,35.773029666015645,35.773029666015645,35.773029666015645,,,,,,,,,0.059154083020985126,35.773029666015645,35.773029666015645,35.773029666015645,35.773029666015645,35.773029666015645,36.26766983300331,36.26766983300331,36.26766983300331,36.26766983300331,36.26766983300331,None,36.26766983300331,36.26766983300331,36.26766983300331,36.26766983300331,36.26766983300331,36.77742620802019,36.77742620802019,36.77742620802019,36.77742620802019,36.77742620802019,,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,3,2,30,50,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.77742620802019,36.77742620802019,36.77742620802019,36.77742620802019,37.29904150002403,37.29904150002403,37.29904150002403,37.29904150002403,,,,,,,,,,,,,,,,,,,,,,,,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,1,1,30,40,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,37.29904150002403,37.78439179100678,37.78439179100678,37.78439179100678,,,,,right,0,37.900026957999216,37.900026957999216,37.900026957999216,37.900026957999216,38.38951683300547,38.38951683300547,38.38951683300547,38.38951683300547,,,,,,,,,0.08961562500917353,38.38951683300547,38.38951683300547,38.38951683300547,38.38951683300547,38.38951683300547,,,,,,right,38.590593666012865,38.590593666012865,38.590593666012865,38.590593666012865,38.590593666012865,39.11776095800451,39.11776095800451,39.11776095800451,39.11776095800451,39.11776095800451,0.1933111660182476,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,1,1,30,40,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.11776095800451,39.11776095800451,39.11776095800451,39.11776095800451,39.63057416601805,39.63057416601805,39.63057416601805,39.63057416601805,,,,,,,,,,,,,,,,,,,,,,,,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,3,1,50,30,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,39.63057416601805,40.11771070800023,40.11771070800023,40.11771070800023,,,,,left,0,40.36521400001948,40.36521400001948,40.36521400001948,40.36521400001948,40.8571178750135,40.8571178750135,40.8571178750135,40.8571178750135,,,,,,,,,0.2314136660133954,40.8571178750135,40.8571178750135,40.8571178750135,40.8571178750135,40.8571178750135,,,,,,left,41.09008841600735,41.09008841600735,41.09008841600735,41.09008841600735,41.09008841600735,41.62301650000154,41.62301650000154,41.62301650000154,41.62301650000154,41.62301650000154,0.22333729101228528,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,3,1,50,30,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.62301650000154,41.62301650000154,41.62301650000154,41.62301650000154,42.15020262502367,42.15020262502367,42.15020262502367,42.15020262502367,,,,,,,,,,,,,,,,,,,,,,,,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,2,2,50,40,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,42.15020262502367,42.6342802910076,42.6342802910076,42.6342802910076,,,,,right,0,42.98212854101439,42.98212854101439,42.98212854101439,42.98212854101439,43.47158383301576,43.47158383301576,43.47158383301576,43.47158383301576,,,,,,,,,0.3246681659948081,43.47158383301576,43.47158383301576,43.47158383301576,43.47158383301576,43.47158383301576,,,,,,left,43.700962666014675,43.700962666014675,43.700962666014675,43.700962666014675,43.700962666014675,44.22197079099715,44.22197079099715,44.22197079099715,44.22197079099715,44.22197079099715,0.2191012910043355,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,2,2,50,40,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.22197079099715,44.22197079099715,44.22197079099715,44.22197079099715,44.73903962501208,44.73903962501208,44.73903962501208,44.73903962501208,,,,,,,,,,,,,,,,,,,,,,,,teste,2023-06-23_17h20.56.656,Pattern_1,2022.2.4,None,
