test_condition,test_pair_pat,test_order_pat,test_conf_pat,n,TEST_IMG_RESP.corr_mean,TEST_IMG_RESP.corr_raw,TEST_IMG_RESP.corr_std,TEST_IMG_RESP.keys_raw,TEST_IMG_RESP.rt_mean,TEST_IMG_RESP.rt_raw,TEST_IMG_RESP.rt_std,order
4,4,0,2,1.0,0.0,0.0,0.0,'left',2.0968730449676514,2.0968730449676514,0.0,0.0
1,3,1,1,1.0,0.0,0.0,0.0,'left',1.0469563007354736,1.0469563007354736,0.0,1.0
3,5,0,2,1.0,0.0,0.0,0.0,'left',3.4348552227020264,3.4348552227020264,0.0,2.0
2,1,2,1,1.0,0.0,0.0,0.0,'left',0.6220009326934814,0.6220009326934814,0.0,3.0
4,3,2,1,1.0,0.0,0.0,0.0,'right',0.694619357585907,0.694619357585907,0.0,4.0
3,1,1,2,1.0,0.0,0.0,0.0,'right',0.7201395630836487,0.7201395630836487,0.0,5.0
1,2,1,2,1.0,0.0,0.0,0.0,'right',0.5798717141151428,0.5798717141151428,0.0,6.0
4,6,0,1,1.0,0.0,0.0,0.0,'right',1.5017125606536865,1.5017125606536865,0.0,7.0
2,2,2,2,1.0,0.0,0.0,0.0,'right',0.8896478414535522,0.8896478414535522,0.0,8.0
3,2,2,2,1.0,0.0,0.0,0.0,'left',0.61823970079422,0.61823970079422,0.0,9.0
4,2,1,2,1.0,0.0,0.0,0.0,'right',0.6954216957092285,0.6954216957092285,0.0,10.0
1,1,1,1,1.0,0.0,0.0,0.0,'left',2.030665159225464,2.030665159225464,0.0,11.0
3,4,0,2,1.0,0.0,0.0,0.0,'right',1.051066517829895,1.051066517829895,0.0,12.0
2,3,2,1,1.0,0.0,0.0,0.0,'left',1.4307405948638916,1.4307405948638916,0.0,13.0
4,2,2,2,1.0,0.0,0.0,0.0,'left',2.4005179405212402,2.4005179405212402,0.0,14.0
3,3,1,2,1.0,0.0,0.0,0.0,'left',0.6034455895423889,0.6034455895423889,0.0,15.0
1,1,2,1,1.0,0.0,0.0,0.0,'left',2.9274613857269287,2.9274613857269287,0.0,16.0
4,5,0,1,1.0,0.0,0.0,0.0,'left',0.9308441281318665,0.9308441281318665,0.0,17.0
2,2,1,2,1.0,0.0,0.0,0.0,'left',0.7691213488578796,0.7691213488578796,0.0,18.0
3,1,2,2,1.0,0.0,0.0,0.0,'left',0.8699665665626526,0.8699665665626526,0.0,19.0
4,3,1,1,1.0,0.0,0.0,0.0,'left',1.6625969409942627,1.6625969409942627,0.0,20.0
1,2,2,1,1.0,0.0,0.0,0.0,'left',0.5953995585441589,0.5953995585441589,0.0,21.0
