obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,1,1,1,23,33,left,low,23,0.9084769056677844,0.6004941398057339,1.0,0.0
0,2,2,2,58,39,right,low,39,1.792387255069631,1.255269400704353,1.0,1.0
0,3,1,1,62,15,right,low,15,0.8111036124839661,0.7547224616694679,1.0,2.0
0,2,1,1,56,43,left,low,56,1.323353759925897,0.9140073463637473,1.0,3.0
0,1,2,1,26,26,left,high,26,0.8657769303559366,0.8282654323119303,1.0,4.0
0,3,2,2,21,54,right,low,54,1.415450424791657,0.2183481176907799,1.0,5.0
0,1,1,1,41,53,right,high,53,1.595648022216958,0.5582961508096297,1.0,6.0
0,3,1,1,44,19,left,low,44,0.4577589144128882,0.9427452012286089,1.0,7.0
0,2,2,1,51,37,left,low,51,1.085565080580571,1.348694341302885,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_16h16.45.417
expName,Pattern_2
psychopyVersion,2022.2.4
frameRate,None
﻿obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,2,2,2,46,43,left,high,46,1.137860019088111,0.1210825353131101,1.0,0.0
0,3,1,1,57,36,left,low,57,1.182594212648595,1.239309994590451,1.0,1.0
0,1,1,2,21,37,right,high,37,1.535435221973659,0.39881564901611,1.0,2.0
0,3,2,1,32,54,right,low,54,0.7336790982121868,0.2231343744844985,1.0,3.0
0,1,2,1,34,32,left,low,34,1.48414291351069,1.169699929432276,1.0,4.0
0,2,1,2,37,51,left,low,37,0.9448328625272091,0.4718925370411068,1.0,5.0
0,3,1,1,57,33,left,high,57,0.8836401145992754,0.6923702641804376,1.0,6.0
0,2,2,1,43,50,left,high,43,1.222356837029504,0.220061950931031,1.0,7.0
0,1,1,2,41,45,right,high,45,1.275137733155847,0.6384044732453276,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_16h16.45.417
expName,Pattern_2
psychopyVersion,2022.2.4
frameRate,None
﻿obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,1,2,1,52,40,left,low,52,1.48414291351069,1.169699929432276,1.0,0.0
0,2,1,2,35,59,right,low,59,0.9448328625272091,0.4718925370411068,1.0,1.0
0,3,2,1,49,43,right,high,43,0.8836401145992754,0.6923702641804376,1.0,2.0
0,2,2,1,52,40,right,high,40,1.222356837029504,0.220061950931031,1.0,3.0
0,1,1,2,29,36,right,high,36,1.275137733155847,0.6384044732453276,1.0,4.0
0,3,1,2,44,34,left,high,44,1.693861428586264,0.8722646544411505,1.0,5.0
0,1,2,2,51,35,left,low,51,0.8505681683038309,0.7678402270988347,1.0,6.0
0,3,2,2,35,45,right,high,45,1.165601836228265,0.3667115382693996,1.0,7.0
0,2,1,1,39,46,right,high,46,0.9084769056677844,0.6004941398057339,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_16h16.45.417
expName,Pattern_2
psychopyVersion,2022.2.4
frameRate,None
﻿obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,2,1,2,29,47,right,high,47,1.275137733155847,0.6384044732453276,1.0,0.0
0,3,2,2,36,49,right,high,49,1.693861428586264,0.8722646544411505,1.0,1.0
0,1,2,2,38,29,left,low,38,0.8505681683038309,0.7678402270988347,1.0,2.0
0,3,1,2,44,31,left,high,44,1.165601836228265,0.3667115382693996,1.0,3.0
0,1,1,1,39,40,right,high,40,0.9084769056677844,0.6004941398057339,1.0,4.0
0,2,2,2,48,27,left,high,48,1.792387255069631,1.255269400704353,1.0,5.0
0,3,2,1,34,44,right,high,44,0.8111036124839661,0.7547224616694679,1.0,6.0
0,2,1,1,48,65,left,low,48,1.323353759925897,0.9140073463637473,1.0,7.0
0,1,2,1,47,27,left,high,47,0.8657769303559366,0.8282654323119303,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_16h16.45.417
expName,Pattern_2
psychopyVersion,2022.2.4
frameRate,None
