slf_file,obs_file,test_file,slf_condition,slf_pair_pat,slf_order_pat,slf_conf_pat,slf_reward_left,slf_reward_right,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,SLF_INSTR.started,SLF_IMG_FIX.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_IMG_RESP.rt,SLF_IMGFB_FIX.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_IMGFB_FIX.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_CONF_FIX.started,SLF_CONF_LOW_BOX.started,SLF_CONF_LOW_TEXT.started,SLF_CONF_HIGH_BOX.started,SLF_CONF_HIGH_TEXT.started,SLF_CONF_RESP.started,SLF_CONF_RESP.keys,SLF_CONF_RESP.rt,SLF_CONFFB_FIX.started,SLF_CONFFB_FRAME.started,SLF_CONFFB_LOW_BOX.started,SLF_CONFFB_LOW_TEXT.started,SLF_CONFFB_HIGH_BOX.started,SLF_CONFFB_HIGH_TEXT.started,SLF_CONFFB_FIX.stopped,SLF_CONFFB_FRAME.stopped,SLF_CONFFB_LOW_BOX.stopped,SLF_CONFFB_LOW_TEXT.stopped,SLF_CONFFB_HIGH_BOX.stopped,SLF_CONFFB_HIGH_TEXT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,19.04627570899902,19.04627570899902,space,0.47974099899875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testd,2023-06-26_03h27.47.935,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,1,1,1,33,38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,22.606620292004663,24.65030762500828,25.061303708993364,25.061303708993364,25.061303708993364,left,0,0.22416041599353775,25.413779249996878,25.413779249996878,25.413779249996878,25.413779249996878,26.419775958987884,26.419775958987884,26.419775958987884,26.419775958987884,26.419775958987884,26.419775958987884,26.419775958987884,26.419775958987884,26.419775958987884,26.419775958987884,left,0.6984489579917863,27.15856587496819,27.15856587496819,27.15856587496819,27.15856587496819,27.15856587496819,27.15856587496819,28.21380854200106,28.21380854200106,28.21380854200106,28.21380854200106,28.21380854200106,28.21380854200106,,,,,,,,,testd,2023-06-26_03h27.47.935,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,1,1,1,33,38,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.21380854200106,28.21380854200106,28.21380854200106,28.21380854200106,30.263899708981626,30.263899708981626,30.263899708981626,30.263899708981626,testd,2023-06-26_03h27.47.935,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,2,2,2,61,41,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,30.263899708981626,30.725935583992396,30.725935583992396,30.725935583992396,right,0,0.38662295701215044,31.151617124967743,31.151617124967743,31.151617124967743,31.151617124967743,32.146419666998554,32.146419666998554,32.146419666998554,32.146419666998554,32.146419666998554,32.146419666998554,32.146419666998554,32.146419666998554,32.146419666998554,32.146419666998554,right,0.32782216608757153,32.49183291697409,32.49183291697409,32.49183291697409,32.49183291697409,32.49183291697409,32.49183291697409,33.545774124970194,33.545774124970194,33.545774124970194,33.545774124970194,33.545774124970194,33.545774124970194,,,,,,,,,testd,2023-06-26_03h27.47.935,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,2,2,2,61,41,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.545774124970194,33.545774124970194,33.545774124970194,33.545774124970194,35.58043099998031,35.58043099998031,35.58043099998031,35.58043099998031,testd,2023-06-26_03h27.47.935,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,3,1,1,51,24,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,35.58043099998031,36.058195291960146,36.058195291960146,36.058195291960146,left,0,0.05955995706608519,36.141023250005674,36.141023250005674,36.141023250005674,36.141023250005674,37.13817933399696,37.13817933399696,37.13817933399696,37.13817933399696,37.13817933399696,37.13817933399696,37.13817933399696,37.13817933399696,37.13817933399696,37.13817933399696,left,0.6442070820485242,37.79801199998474,37.79801199998474,37.79801199998474,37.79801199998474,37.79801199998474,37.79801199998474,38.84009849996073,38.84009849996073,38.84009849996073,38.84009849996073,38.84009849996073,38.84009849996073,,,,,,,,,testd,2023-06-26_03h27.47.935,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,3,1,1,51,24,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.84009849996073,38.84009849996073,38.84009849996073,38.84009849996073,40.86925316700945,40.86925316700945,40.86925316700945,40.86925316700945,testd,2023-06-26_03h27.47.935,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,2,1,2,32,49,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,40.86925316700945,41.34185866697226,41.34185866697226,41.34185866697226,right,0,0.31159424904035404,41.67411916697165,41.67411916697165,41.67411916697165,41.67411916697165,42.67157054197742,42.67157054197742,42.67157054197742,42.67157054197742,42.67157054197742,42.67157054197742,42.67157054197742,42.67157054197742,42.67157054197742,42.67157054197742,right,0.4549201240297407,43.1381349999574,43.1381349999574,43.1381349999574,43.1381349999574,43.1381349999574,43.1381349999574,44.17748908395879,44.17748908395879,44.17748908395879,44.17748908395879,44.17748908395879,44.17748908395879,,,,,,,,,testd,2023-06-26_03h27.47.935,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,2,1,2,32,49,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.17748908395879,44.17748908395879,44.17748908395879,44.17748908395879,46.224083333974704,46.224083333974704,46.224083333974704,46.224083333974704,testd,2023-06-26_03h27.47.935,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,1,2,2,44,27,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,46.224083333974704,46.69200658396585,46.69200658396585,46.69200658396585,left,0,0.4497407500166446,47.164724625006784,47.164724625006784,47.164724625006784,47.164724625006784,48.1625688750064,48.1625688750064,48.1625688750064,48.1625688750064,48.1625688750064,48.1625688750064,48.1625688750064,48.1625688750064,48.1625688750064,48.1625688750064,left,0.2736767500755377,48.447602959000506,48.447602959000506,48.447602959000506,48.447602959000506,48.447602959000506,48.447602959000506,49.50231199996779,49.50231199996779,49.50231199996779,49.50231199996779,49.50231199996779,49.50231199996779,,,,,,,,,testd,2023-06-26_03h27.47.935,Pattern_1,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.50231199996779,49.50231199996779,49.50231199996779,49.50231199996779,,,,,,,,,,
