obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,1,2,1,35,33,left,low,35,1.48414291351069,1.169699929432276,1.0,0.0
0,2,1,2,33,47,right,low,47,0.9448328625272091,0.4718925370411068,1.0,1.0
0,3,2,1,28,54,left,low,28,0.8836401145992754,0.6923702641804376,1.0,2.0
0,2,2,1,54,34,right,low,34,1.222356837029504,0.220061950931031,1.0,3.0
0,1,1,2,20,40,right,low,40,1.275137733155847,0.6384044732453276,1.0,4.0
0,3,1,2,44,34,right,low,34,1.693861428586264,0.8722646544411505,1.0,5.0
0,1,2,2,34,29,left,low,34,0.8505681683038309,0.7678402270988347,1.0,6.0
0,3,2,2,13,49,right,low,49,1.165601836228265,0.3667115382693996,1.0,7.0
0,2,1,1,39,57,right,low,57,0.9084769056677844,0.6004941398057339,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_17h13.44.965
expName,Pattern_4
psychopyVersion,2022.2.4
frameRate,None
﻿obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,2,1,2,57,55,right,low,55,1.275137733155847,0.6384044732453276,1.0,0.0
0,3,2,2,38,63,right,low,63,1.693861428586264,0.8722646544411505,1.0,1.0
0,1,2,2,43,33,left,low,43,0.8505681683038309,0.7678402270988347,1.0,2.0
0,3,1,2,61,34,left,low,61,1.165601836228265,0.3667115382693996,1.0,3.0
0,1,1,1,37,42,left,low,37,0.9084769056677844,0.6004941398057339,1.0,4.0
0,2,2,2,60,38,left,low,60,1.792387255069631,1.255269400704353,1.0,5.0
0,3,2,1,28,52,right,high,52,0.8111036124839661,0.7547224616694679,1.0,6.0
0,2,1,1,29,47,right,low,47,1.323353759925897,0.9140073463637473,1.0,7.0
0,1,2,1,40,23,right,high,23,0.8657769303559366,0.8282654323119303,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_17h13.44.965
expName,Pattern_4
psychopyVersion,2022.2.4
frameRate,None
﻿obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,1,1,1,22,43,right,low,43,0.9084769056677844,0.6004941398057339,1.0,0.0
0,2,2,2,51,50,left,low,51,1.792387255069631,1.255269400704353,1.0,1.0
0,3,1,1,53,36,left,high,53,0.8111036124839661,0.7547224616694679,1.0,2.0
0,2,1,1,49,45,right,low,45,1.323353759925897,0.9140073463637473,1.0,3.0
0,1,2,1,25,33,left,high,25,0.8657769303559366,0.8282654323119303,1.0,4.0
0,3,2,2,23,43,right,low,43,1.415450424791657,0.2183481176907799,1.0,5.0
0,1,1,1,33,50,right,high,50,1.595648022216958,0.5582961508096297,1.0,6.0
0,3,1,1,47,21,left,high,47,0.4577589144128882,0.9427452012286089,1.0,7.0
0,2,2,1,48,36,left,high,48,1.085565080580571,1.348694341302885,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_17h13.44.965
expName,Pattern_4
psychopyVersion,2022.2.4
frameRate,None
﻿obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,2,2,2,48,32,left,high,48,1.137860019088111,0.1210825353131101,1.0,0.0
0,3,1,1,60,21,left,low,60,1.182594212648595,1.239309994590451,1.0,1.0
0,1,1,2,24,28,right,high,28,1.535435221973659,0.39881564901611,1.0,2.0
0,3,2,1,35,51,right,high,51,0.7336790982121868,0.2231343744844985,1.0,3.0
0,1,2,1,43,35,left,high,43,1.48414291351069,1.169699929432276,1.0,4.0
0,2,1,2,33,51,right,low,51,0.9448328625272091,0.4718925370411068,1.0,5.0
0,3,1,1,53,41,left,low,53,0.8836401145992754,0.6923702641804376,1.0,6.0
0,2,2,1,44,42,left,high,44,1.222356837029504,0.220061950931031,1.0,7.0
0,1,1,2,42,33,right,high,33,1.275137733155847,0.6384044732453276,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_17h13.44.965
expName,Pattern_4
psychopyVersion,2022.2.4
frameRate,None
