test_condition,test_pair_pat,test_order_pat,test_conf_pat,n,TEST_IMG_RESP.corr_mean,TEST_IMG_RESP.corr_raw,TEST_IMG_RESP.corr_std,TEST_IMG_RESP.keys_raw,TEST_IMG_RESP.rt_mean,TEST_IMG_RESP.rt_raw,TEST_IMG_RESP.rt_std,order
3,3,1,1,1.0,0.0,0.0,0.0,'left',1.705299973487854,1.705299973487854,0.0,0.0
1,1,2,1,1.0,0.0,0.0,0.0,'right',3.1571567058563232,3.1571567058563232,0.0,1.0
4,5,0,1,1.0,0.0,0.0,0.0,'left',2.0107438564300537,2.0107438564300537,0.0,2.0
2,2,1,1,1.0,0.0,0.0,0.0,'right',1.6879050731658936,1.6879050731658936,0.0,3.0
3,1,2,1,1.0,0.0,0.0,0.0,'right',2.6399037837982178,2.6399037837982178,0.0,4.0
4,3,1,2,1.0,0.0,0.0,0.0,'left',1.464677095413208,1.464677095413208,0.0,5.0
1,2,2,2,1.0,0.0,0.0,0.0,'left',1.0618550777435303,1.0618550777435303,0.0,6.0
3,6,0,2,1.0,0.0,0.0,0.0,'left',2.0875327587127686,2.0875327587127686,0.0,7.0
2,3,1,1,1.0,0.0,0.0,0.0,'left',1.834727168083191,1.834727168083191,0.0,8.0
4,1,2,1,1.0,0.0,0.0,0.0,'left',1.738250732421875,1.738250732421875,0.0,9.0
3,2,1,1,1.0,0.0,0.0,0.0,'right',1.9462828636169434,1.9462828636169434,0.0,10.0
1,3,2,2,1.0,0.0,0.0,0.0,'right',0.8405810594558716,0.8405810594558716,0.0,11.0
4,1,1,2,1.0,0.0,0.0,0.0,'left',1.4156099557876587,1.4156099557876587,0.0,12.0
2,1,1,2,1.0,0.0,0.0,0.0,'right',3.0954034328460693,3.0954034328460693,0.0,13.0
3,3,2,1,1.0,0.0,0.0,0.0,'right',1.7549793720245361,1.7549793720245361,0.0,14.0
4,4,0,2,1.0,0.0,0.0,0.0,'left',1.1339679956436157,1.1339679956436157,0.0,15.0
1,3,1,2,1.0,0.0,0.0,0.0,'left',0.7834159135818481,0.7834159135818481,0.0,16.0
3,5,0,2,1.0,0.0,0.0,0.0,'right',2.2596187591552734,2.2596187591552734,0.0,17.0
2,1,2,1,1.0,0.0,0.0,0.0,'left',1.882243037223816,1.882243037223816,0.0,18.0
