slf_file,obs_file,test_file,obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,slf_condition,slf_pair_pat,slf_order_pat,slf_conf_pat,slf_reward_left,slf_reward_right,test_condition,test_pair_pat,test_order_pat,test_conf_pat,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,ObsSequence.thisRepN,ObsSequence.thisTrialN,ObsSequence.thisN,ObsSequence.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,TestSequence.thisRepN,TestSequence.thisTrialN,TestSequence.thisN,TestSequence.thisIndex,TestSkip.thisRepN,TestSkip.thisTrialN,TestSkip.thisN,TestSkip.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,OBS_INSTR.started,OBS_IMG_FIX.started,OBS_IMG_LEFT.started,OBS_IMG_RIGHT.started,OBS_IMGFB_FRAME.started,OBS_IMG_LEFT.stopped,OBS_IMG_RIGHT.stopped,OBS_IMGFB_FRAME.stopped,OBS_IMG_FIX.stopped,OBS_CONF_FIX.started,OBS_CONF_LOW_BOX.started,OBS_CONF_LOW_TEXT.started,OBS_CONF_HIGH_BOX.started,OBS_CONF_HIGH_TEXT.started,OBS_CONFFB_FRAME.started,OBS_CONFFB_FRAME.stopped,OBS_CONF_FIX.stopped,OBS_CONF_LOW_BOX.stopped,OBS_CONF_LOW_TEXT.stopped,OBS_CONF_HIGH_BOX.stopped,OBS_CONF_HIGH_TEXT.stopped,OBS_REWARD_FRAME.started,OBS_REWARD_IMG_LEFT.started,OBS_REWARD_IMG_RIGHT.started,OBS_REWARD_TEXT.started,OBS_REWARD_FRAME.stopped,OBS_REWARD_IMG_LEFT.stopped,OBS_REWARD_IMG_RIGHT.stopped,OBS_REWARD_TEXT.stopped,SLF_INSTR.started,SLF_IMG_FIX.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_IMG_RESP.rt,SLF_IMGFB_FIX.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_IMGFB_FIX.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_CONF_FIX.started,SLF_CONF_LOW_BOX.started,SLF_CONF_LOW_TEXT.started,SLF_CONF_HIGH_BOX.started,SLF_CONF_HIGH_TEXT.started,SLF_CONF_RESP.started,SLF_CONF_RESP.keys,SLF_CONF_RESP.rt,SLF_CONFFB_FIX.started,SLF_CONFFB_FRAME.started,SLF_CONFFB_LOW_BOX.started,SLF_CONFFB_LOW_TEXT.started,SLF_CONFFB_HIGH_BOX.started,SLF_CONFFB_HIGH_TEXT.started,SLF_CONFFB_FIX.stopped,SLF_CONFFB_FRAME.stopped,SLF_CONFFB_LOW_BOX.stopped,SLF_CONFFB_LOW_TEXT.stopped,SLF_CONFFB_HIGH_BOX.stopped,SLF_CONFFB_HIGH_TEXT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,TEST_INSTR.started,TEST_IMG_FIX.started,TEST_IMG_LEFT.started,TEST_IMG_RIGHT.started,TEST_IMG_RESP.started,TEST_IMG_RESP.keys,TEST_IMG_RESP.corr,TEST_IMG_RESP.rt,TEST_IMGFB_FIX.started,TEST_IMGFB_FRAME.started,TEST_IMGFB_IMG_LEFT.started,TEST_IMGFB_IMG_RIGHT.started,TEST_IMGFB_FIX.stopped,TEST_IMGFB_FRAME.stopped,TEST_IMGFB_IMG_LEFT.stopped,TEST_IMGFB_IMG_RIGHT.stopped,TEST_CONF_FIX.started,TEST_CONF_LOW_BOX.started,TEST_CONF_LOW_TEXT.started,TEST_CONF_HIGH_BOX.started,TEST_CONF_HIGH_TEXT.started,TEST_CONF_RESP.started,TEST_CONF_RESP.keys,TEST_CONF_RESP.rt,TEST_CONFFB_FIX.started,TEST_CONFFB_FRAME.started,TEST_CONFFB_LOW_BOX.started,TEST_CONFFB_LOW_TEXT.started,TEST_CONFFB_HIGH_BOX.started,TEST_CONFFB_HIGH_TEXT.started,TEST_CONFFB_FIX.stopped,TEST_CONFFB_FRAME.stopped,TEST_CONFFB_LOW_BOX.stopped,TEST_CONFFB_LOW_TEXT.stopped,TEST_CONFFB_HIGH_BOX.stopped,TEST_CONFFB_HIGH_TEXT.stopped,TEST_REWARD_FRAME.started,TEST_REWARD_IMG_LEFT.started,TEST_REWARD_IMG_RIGHT.started,TEST_REWARD_TEXT.started,TEST_REWARD_FRAME.stopped,TEST_REWARD_IMG_LEFT.stopped,TEST_REWARD_IMG_RIGHT.stopped,TEST_REWARD_TEXT.stopped,BLOCK_REST_TEXT.started,BLOCK_REST_SKIP.started,BLOCK_REST_SKIP.keys,BLOCK_REST_SKIP.rt,OBS_INSTR.stopped,APPRECIATION.started,participant,date,expName,psychopyVersion,frameRate,
slf41.xlsx,obs41.xlsx,test41.xlsx,,,,,,,,,,,,0,2,1,1,41,53,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.19175558397546,453.2146185840247,453.6670262920088,453.6670262920088,453.6670262920088,right,0,1.6464562069741078,455.47575124999275,455.47575124999275,455.47575124999275,455.47575124999275,456.4688183750259,456.4688183750259,456.4688183750259,456.4688183750259,456.4688183750259,456.4688183750259,456.4688183750259,456.4688183750259,456.4688183750259,456.4688183750259,left,0.6835618320037611,457.17711720900843,457.17711720900843,457.17711720900843,457.17711720900843,457.17711720900843,457.17711720900843,458.23215574998176,458.23215574998176,458.23215574998176,458.23215574998176,458.23215574998176,458.23215574998176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_17h13.44.965,Pattern_4,2022.2.4,None,
slf41.xlsx,obs41.xlsx,test41.xlsx,,,,,,,,,,,,0,2,1,1,41,53,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.23215574998176,458.23215574998176,458.23215574998176,458.23215574998176,460.2778228750103,460.2778228750103,460.2778228750103,460.2778228750103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_17h13.44.965,Pattern_4,2022.2.4,None,
slf41.xlsx,obs41.xlsx,test41.xlsx,,,,,,,,,,,,0,3,2,2,14,54,,,,,0,0,0,0,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.2778228750103,460.74792333401274,460.74792333401274,460.74792333401274,right,0,1.139776582014747,461.9134247089969,461.9134247089969,461.9134247089969,461.9134247089969,462.9083919589757,462.9083919589757,462.9083919589757,462.9083919589757,462.9083919589757,462.9083919589757,462.9083919589757,462.9083919589757,462.9083919589757,462.9083919589757,right,0.680568873998709,463.63347133400384,463.63347133400384,463.63347133400384,463.63347133400384,463.63347133400384,463.63347133400384,464.6867374170106,464.6867374170106,464.6867374170106,464.6867374170106,464.6867374170106,464.6867374170106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_17h13.44.965,Pattern_4,2022.2.4,None,
slf41.xlsx,obs41.xlsx,test41.xlsx,,,,,,,,,,,,0,3,2,2,14,54,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.6867374170106,464.6867374170106,464.6867374170106,464.6867374170106,466.74988012498943,466.74988012498943,466.74988012498943,466.74988012498943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_17h13.44.965,Pattern_4,2022.2.4,None,
slf41.xlsx,obs41.xlsx,test41.xlsx,,,,,,,,,,,,0,1,2,2,33,37,,,,,0,0,0,0,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.74988012498943,467.21506829198916,467.21506829198916,467.21506829198916,right,0,1.512858166010119,468.7546048749937,468.7546048749937,468.7546048749937,468.7546048749937,469.7520401250222,469.7520401250222,469.7520401250222,469.7520401250222,469.7520401250222,469.7520401250222,469.7520401250222,469.7520401250222,469.7520401250222,469.7520401250222,right,0.7447731660213321,470.5157431670232,470.5157431670232,470.5157431670232,470.5157431670232,470.5157431670232,470.5157431670232,471.5809656250058,471.5809656250058,471.5809656250058,471.5809656250058,471.5809656250058,471.5809656250058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_17h13.44.965,Pattern_4,2022.2.4,None,
slf41.xlsx,obs41.xlsx,test41.xlsx,,,,,,,,,,,,0,1,2,2,33,37,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.5809656250058,471.5809656250058,471.5809656250058,471.5809656250058,473.6616329589742,473.6616329589742,473.6616329589742,473.6616329589742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_17h13.44.965,Pattern_4,2022.2.4,None,
slf41.xlsx,obs41.xlsx,test41.xlsx,,,,,,,,,,,,0,3,1,1,47,33,,,,,0,0,0,0,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.6616329589742,474.11534833401674,474.11534833401674,474.11534833401674,left,0,1.0616087490343489,475.20752837503096,475.20752837503096,475.20752837503096,475.20752837503096,476.20299600000726,476.20299600000726,476.20299600000726,476.20299600000726,476.20299600000726,476.20299600000726,476.20299600000726,476.20299600000726,476.20299600000726,476.20299600000726,left,0.5833974150009453,476.8068952090107,476.8068952090107,476.8068952090107,476.8068952090107,476.8068952090107,476.8068952090107,477.907197499997,477.907197499997,477.907197499997,477.907197499997,477.907197499997,477.907197499997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_17h13.44.965,Pattern_4,2022.2.4,None,
slf41.xlsx,obs41.xlsx,test41.xlsx,,,,,,,,,,,,0,3,1,1,47,33,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.907197499997,477.907197499997,477.907197499997,477.907197499997,479.943730375031,479.943730375031,479.943730375031,479.943730375031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_17h13.44.965,Pattern_4,2022.2.4,None,
slf41.xlsx,obs41.xlsx,test41.xlsx,,,,,,,,,,,,0,1,1,2,24,34,,,,,0,0,0,0,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.943730375031,480.41566891700495,480.41566891700495,480.41566891700495,right,0,1.8468091240501963,482.29147649998777,482.29147649998777,482.29147649998777,482.29147649998777,483.28851962502813,483.28851962502813,483.28851962502813,483.28851962502813,483.28851962502813,483.28851962502813,483.28851962502813,483.28851962502813,483.28851962502813,483.28851962502813,right,0.6880347490659915,483.9961739589926,483.9961739589926,483.9961739589926,483.9961739589926,483.9961739589926,483.9961739589926,485.0386657920317,485.0386657920317,485.0386657920317,485.0386657920317,485.0386657920317,485.0386657920317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_17h13.44.965,Pattern_4,2022.2.4,None,
slf41.xlsx,obs41.xlsx,test41.xlsx,,,,,,,,,,,,0,1,1,2,24,34,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.0386657920317,485.0386657920317,485.0386657920317,485.0386657920317,487.07458429201506,487.07458429201506,487.07458429201506,487.07458429201506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_17h13.44.965,Pattern_4,2022.2.4,None,
