slf_file,obs_file,test_file,slf_condition,slf_pair_pat,slf_order_pat,slf_conf_pat,slf_reward_left,slf_reward_right,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,SLF_INSTR.started,SLF_IMG_FIX.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_LEFT.stopped,SLF_IMG_RIGHT.stopped,SLF_IMG_RESP.stopped,SLF_IMG_FIX.stopped,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_IMGFB_FIX.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_IMGFB_FIX.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,20.108069041976705,20.108069041976705,space,5.422814791032579,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiga,2023-06-28_15h36.56.865,Pattern_1,2022.2.4,None,
slfT.xlsx,obsT.xlsx,testT.xlsx,0,2,2,1,17,39,0,0,0,0,0,0,0,0,,,,,,,,,28.601804542005993,29.03361549996771,29.398735416994896,29.398735416994896,29.398735416994896,29.69026462500915,29.69026462500915,29.69026462500915,29.873420167015865,None,0,29.873420167015865,29.873420167015865,29.873420167015865,29.873420167015865,30.898408374981955,30.898408374981955,30.898408374981955,30.898408374981955,30.898408374981955,30.898408374981955,30.898408374981955,30.898408374981955,32.93914087500889,32.93914087500889,32.93914087500889,32.93914087500889,shiga,2023-06-28_15h36.56.865,Pattern_1,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,32.93914087500889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
