slf_condition,slf_pair_pat,slf_order_pat,slf_conf_pat,slf_reward_left,slf_reward_right,n,SLF_IMG_RESP.corr_mean,SLF_IMG_RESP.corr_raw,SLF_IMG_RESP.corr_std,SLF_IMG_RESP.keys_raw,SLF_IMG_RESP.rt_mean,SLF_IMG_RESP.rt_raw,SLF_IMG_RESP.rt_std,order
0,1,2,1,45,44,1.0,0.0,0.0,0.0,'right',0.6849552392959595,0.6849552392959595,0.0,6.0
0,3,2,2,18,59,1.0,0.0,0.0,0.0,'right',0.7333914041519165,0.7333914041519165,0.0,7.0
0,2,1,1,53,31,1.0,0.0,0.0,0.0,'right',0.6178244352340698,0.6178244352340698,0.0,8.0

extraInfo
participant,shiga
date,2023-06-28_16h16.45.417
expName,Pattern_2
psychopyVersion,2022.2.4
frameRate,None
