test_condition,test_pair_pat,test_order_pat,test_conf_pat,n,TEST_IMG_RESP.corr_mean,TEST_IMG_RESP.corr_raw,TEST_IMG_RESP.corr_std,TEST_IMG_RESP.keys_raw,TEST_IMG_RESP.rt_mean,TEST_IMG_RESP.rt_raw,TEST_IMG_RESP.rt_std,order
4,4,0,2,1.0,0.0,0.0,0.0,'right',4.019750118255615,4.019750118255615,0.0,0.0
1,3,2,2,1.0,0.0,0.0,0.0,'right',3.7375733852386475,3.7375733852386475,0.0,1.0
3,5,0,1,1.0,0.0,0.0,0.0,,,,,2.0
2,1,1,2,1.0,0.0,0.0,0.0,'right',1.2310945987701416,1.2310945987701416,0.0,3.0
4,3,1,2,1.0,0.0,0.0,0.0,'left',2.0986945629119873,2.0986945629119873,0.0,4.0
3,1,2,1,1.0,0.0,0.0,0.0,'left',1.1656200885772705,1.1656200885772705,0.0,5.0
1,2,2,1,1.0,0.0,0.0,0.0,'right',1.3009980916976929,1.3009980916976929,0.0,6.0
4,6,0,2,1.0,0.0,0.0,0.0,'left',1.6180135011672974,1.6180135011672974,0.0,7.0
2,2,1,2,1.0,0.0,0.0,0.0,'right',1.280269742012024,1.280269742012024,0.0,8.0
3,2,1,1,1.0,0.0,0.0,0.0,'right',1.0691090822219849,1.0691090822219849,0.0,9.0
4,2,2,2,1.0,0.0,0.0,0.0,'left',1.764248013496399,1.764248013496399,0.0,10.0
1,1,2,2,1.0,0.0,0.0,0.0,'left',2.310948371887207,2.310948371887207,0.0,11.0
3,4,0,2,1.0,0.0,0.0,0.0,'left',0.8988761901855469,0.8988761901855469,0.0,12.0
2,3,1,1,1.0,0.0,0.0,0.0,'left',0.9098870158195496,0.9098870158195496,0.0,13.0
4,2,1,1,1.0,0.0,0.0,0.0,'left',2.7186214923858643,2.7186214923858643,0.0,14.0
3,3,2,1,1.0,0.0,0.0,0.0,'right',1.2120448350906372,1.2120448350906372,0.0,15.0
1,1,1,2,1.0,0.0,0.0,0.0,'right',1.569939136505127,1.569939136505127,0.0,16.0
4,5,0,2,1.0,0.0,0.0,0.0,'left',3.0966806411743164,3.0966806411743164,0.0,17.0
2,2,2,2,1.0,0.0,0.0,0.0,'left',0.9968246817588806,0.9968246817588806,0.0,18.0
3,1,1,1,1.0,0.0,0.0,0.0,'right',1.50538170337677,1.50538170337677,0.0,19.0
4,3,2,1,1.0,0.0,0.0,0.0,'right',0.8740805983543396,0.8740805983543396,0.0,20.0
1,2,1,1,1.0,0.0,0.0,0.0,'left',1.4009910821914673,1.4009910821914673,0.0,21.0
3,6,0,2,1.0,0.0,0.0,0.0,'right',0.8870855569839478,0.8870855569839478,0.0,22.0
2,3,2,1,1.0,0.0,0.0,0.0,'right',0.8831503391265869,0.8831503391265869,0.0,23.0
4,1,1,2,1.0,0.0,0.0,0.0,'right',1.0964196920394897,1.0964196920394897,0.0,24.0
3,2,2,1,1.0,0.0,0.0,0.0,'right',1.7608903646469116,1.7608903646469116,0.0,25.0
1,3,1,2,1.0,0.0,0.0,0.0,'left',3.512885332107544,3.512885332107544,0.0,26.0
4,1,2,1,1.0,0.0,0.0,0.0,'left',1.4033859968185425,1.4033859968185425,0.0,27.0
2,1,2,1,1.0,0.0,0.0,0.0,'left',0.8713944554328918,0.8713944554328918,0.0,28.0
3,3,1,1,1.0,0.0,0.0,0.0,'left',0.9956750273704529,0.9956750273704529,0.0,29.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
