test_condition,test_pair_pat,test_order_pat,test_conf_pat,n,TEST_IMG_RESP.corr_mean,TEST_IMG_RESP.corr_raw,TEST_IMG_RESP.corr_std,TEST_IMG_RESP.keys_raw,TEST_IMG_RESP.rt_mean,TEST_IMG_RESP.rt_raw,TEST_IMG_RESP.rt_std,order
3,2,2,2,1.0,0.0,0.0,0.0,'right',0.7854415774345398,0.7854415774345398,0.0,24.0
4,2,1,2,1.0,0.0,0.0,0.0,'right',0.9798911213874817,0.9798911213874817,0.0,25.0
1,1,1,2,1.0,0.0,0.0,0.0,'left',1.5121839046478271,1.5121839046478271,0.0,26.0
3,4,0,2,1.0,0.0,0.0,0.0,'left',1.822381615638733,1.822381615638733,0.0,27.0
2,3,2,1,1.0,0.0,0.0,0.0,'right',0.7207021117210388,0.7207021117210388,0.0,28.0
4,2,2,2,1.0,0.0,0.0,0.0,'left',1.2860747575759888,1.2860747575759888,0.0,29.0

extraInfo
participant,shiga
date,2023-06-28_16h16.45.417
expName,Pattern_2
psychopyVersion,2022.2.4
frameRate,None
﻿test_condition,test_pair_pat,test_order_pat,test_conf_pat,n,TEST_IMG_RESP.corr_mean,TEST_IMG_RESP.corr_raw,TEST_IMG_RESP.corr_std,TEST_IMG_RESP.keys_raw,TEST_IMG_RESP.rt_mean,TEST_IMG_RESP.rt_raw,TEST_IMG_RESP.rt_std,order
4,4,0,1,1.0,0.0,0.0,0.0,'right',1.4750627279281616,1.4750627279281616,0.0,0.0
1,3,1,1,1.0,0.0,0.0,0.0,'left',1.5219982862472534,1.5219982862472534,0.0,1.0
3,5,0,1,1.0,0.0,0.0,0.0,'right',1.6930365562438965,1.6930365562438965,0.0,2.0
2,1,2,1,1.0,0.0,0.0,0.0,'left',0.7554172873497009,0.7554172873497009,0.0,3.0
4,3,2,2,1.0,0.0,0.0,0.0,'right',0.7244724631309509,0.7244724631309509,0.0,4.0
3,1,1,2,1.0,0.0,0.0,0.0,'right',0.8910083770751953,0.8910083770751953,0.0,5.0
