obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,2,2,2,63,45,right,low,45,1.137860019088111,0.1210825353131101,1.0,0.0
0,3,1,1,53,15,left,low,53,1.182594212648595,1.239309994590451,1.0,1.0
0,1,1,2,35,46,right,low,46,1.535435221973659,0.39881564901611,1.0,2.0
0,3,2,1,23,46,left,low,23,0.7336790982121868,0.2231343744844985,1.0,3.0
0,1,2,1,45,20,right,low,20,1.48414291351069,1.169699929432276,1.0,4.0
0,2,1,2,43,53,right,low,53,0.9448328625272091,0.4718925370411068,1.0,5.0
0,3,1,1,48,45,left,high,48,0.8836401145992754,0.6923702641804376,1.0,6.0
0,2,2,1,59,38,right,low,38,1.222356837029504,0.220061950931031,1.0,7.0
0,1,1,2,32,34,right,low,34,1.275137733155847,0.6384044732453276,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_15h47.18.488
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,1,2,1,42,28,left,low,42,1.48414291351069,1.169699929432276,1.0,0.0
0,2,1,2,40,37,right,low,37,0.9448328625272091,0.4718925370411068,1.0,1.0
0,3,2,1,25,50,right,high,50,0.8836401145992754,0.6923702641804376,1.0,2.0
0,2,2,1,47,37,left,low,47,1.222356837029504,0.220061950931031,1.0,3.0
0,1,1,2,33,44,right,low,44,1.275137733155847,0.6384044732453276,1.0,4.0
0,3,1,2,48,40,left,low,48,1.693861428586264,0.8722646544411505,1.0,5.0
0,1,2,2,32,23,left,low,32,0.8505681683038309,0.7678402270988347,1.0,6.0
0,3,2,2,13,47,right,high,47,1.165601836228265,0.3667115382693996,1.0,7.0
0,2,1,1,24,51,left,low,24,0.9084769056677844,0.6004941398057339,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_15h47.18.488
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,2,1,2,46,39,right,low,39,1.275137733155847,0.6384044732453276,1.0,0.0
0,3,2,2,26,38,right,low,38,1.693861428586264,0.8722646544411505,1.0,1.0
0,1,2,2,48,27,left,low,48,0.8505681683038309,0.7678402270988347,1.0,2.0
0,3,1,2,50,37,left,high,50,1.165601836228265,0.3667115382693996,1.0,3.0
0,1,1,1,23,38,right,low,38,0.9084769056677844,0.6004941398057339,1.0,4.0
0,2,2,2,47,32,right,high,32,1.792387255069631,1.255269400704353,1.0,5.0
0,3,2,1,21,52,right,high,52,0.8111036124839661,0.7547224616694679,1.0,6.0
0,2,1,1,42,61,right,high,61,1.323353759925897,0.9140073463637473,1.0,7.0
0,1,2,1,43,41,left,high,43,0.8657769303559366,0.8282654323119303,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_15h47.18.488
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,1,1,1,31,40,right,low,40,0.9084769056677844,0.6004941398057339,1.0,0.0
0,2,2,2,52,31,left,high,52,1.792387255069631,1.255269400704353,1.0,1.0
0,3,1,1,55,22,left,high,55,0.8111036124839661,0.7547224616694679,1.0,2.0
0,2,1,1,47,63,right,high,63,1.323353759925897,0.9140073463637473,1.0,3.0
0,1,2,1,39,28,left,high,39,0.8657769303559366,0.8282654323119303,1.0,4.0
0,3,2,2,26,62,right,low,62,1.415450424791657,0.2183481176907799,1.0,5.0
0,1,1,1,32,53,right,low,53,1.595648022216958,0.5582961508096297,1.0,6.0
0,3,1,1,47,19,left,high,47,0.4577589144128882,0.9427452012286089,1.0,7.0
0,2,2,1,46,55,left,high,46,1.085565080580571,1.348694341302885,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_15h47.18.488
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
