slf_file,obs_file,test_file,slf_condition,slf_pair_pat,slf_order_pat,slf_reward_left,slf_reward_right,obs_condition,obs_pair_pat,obs_order_pat,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,test_condition,test_pair_pat,test_order_pat,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,ObsSequence.thisRepN,ObsSequence.thisTrialN,ObsSequence.thisN,ObsSequence.thisIndex,TestSequence.thisRepN,TestSequence.thisTrialN,TestSequence.thisN,TestSequence.thisIndex,TestSkip.thisRepN,TestSkip.thisTrialN,TestSkip.thisN,TestSkip.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,SLF_INSTR.started,SLF_INSTR.stopped,SLF_FIX1.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_LEFT.stopped,SLF_IMG_RIGHT.stopped,SLF_IMG_RESP.stopped,SLF_FIX1.stopped,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_FIX2.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_FIX2.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,OBS_INSTR.started,OBS_FIX.started,OBS_IMG_LEFT.started,OBS_IMG_RIGHT.started,OBS_IMGFB_FRAME.started,OBS_IMG_LEFT.stopped,OBS_IMG_RIGHT.stopped,OBS_IMGFB_FRAME.stopped,OBS_FIX.stopped,OBS_CONF_LOW_BOX.started,OBS_CONF_LOW_TEXT.started,OBS_CONF_HIGH_BOX.started,OBS_CONF_HIGH_TEXT.started,OBS_CONFFB_FRAME.started,OBS_CONFFB_FRAME.stopped,OBS_CONF_LOW_BOX.stopped,OBS_CONF_LOW_TEXT.stopped,OBS_CONF_HIGH_BOX.stopped,OBS_CONF_HIGH_TEXT.stopped,OBS_REWARD_FRAME.started,OBS_REWARD_IMG_LEFT.started,OBS_REWARD_IMG_RIGHT.started,OBS_REWARD_TEXT.started,OBS_REWARD_FRAME.stopped,OBS_REWARD_IMG_LEFT.stopped,OBS_REWARD_IMG_RIGHT.stopped,OBS_REWARD_TEXT.stopped,TEST_INSTR.started,TEST_FIX1.started,TEST_IMG_LEFT.started,TEST_IMG_RIGHT.started,TEST_IMG_RESP.started,TEST_IMG_LEFT.stopped,TEST_IMG_RIGHT.stopped,TEST_IMG_RESP.stopped,TEST_FIX1.stopped,TEST_IMG_RESP.keys,TEST_IMG_RESP.corr,TEST_FIX2.started,TEST_IMGFB_FRAME.started,TEST_IMGFB_IMG_LEFT.started,TEST_IMGFB_IMG_RIGHT.started,TEST_FIX2.stopped,TEST_IMGFB_FRAME.stopped,TEST_IMGFB_IMG_LEFT.stopped,TEST_IMGFB_IMG_RIGHT.stopped,TEST_REWARD_FRAME.started,TEST_REWARD_IMG_LEFT.started,TEST_REWARD_IMG_RIGHT.started,TEST_REWARD_TEXT.started,TEST_REWARD_FRAME.stopped,TEST_REWARD_IMG_LEFT.stopped,TEST_REWARD_IMG_RIGHT.stopped,TEST_REWARD_TEXT.stopped,TEST_IMG_RESP.rt,TEST_CONF_LOW_BOX.started,TEST_CONF_LOW_TEXT.started,TEST_CONF_HIGH_BOX.started,TEST_CONF_HIGH_TEXT.started,TEST_CONF_RESP.started,TEST_CONF_RESP.keys,TEST_CONF_RESP.rt,TEST_CONFFB_FRAME.started,TEST_CONFFB_CONF_LOW_BOX.started,TEST_CONFFB_CONF_LOW_TEXT.started,TEST_CONFFB_CONF_HIGH_BOX.started,TEST_CONFFB_CONF_HIGH_TEXT.started,TEST_CONFFB_FRAME.stopped,TEST_CONFFB_CONF_LOW_BOX.stopped,TEST_CONFFB_CONF_LOW_TEXT.stopped,TEST_CONFFB_CONF_HIGH_BOX.stopped,TEST_CONFFB_CONF_HIGH_TEXT.stopped,TEST_CONF_LOW_BOX.stopped,TEST_CONF_LOW_TEXT.stopped,TEST_CONF_HIGH_BOX.stopped,TEST_CONF_HIGH_TEXT.stopped,TEST_CONF_RESP.stopped,BLOCK_REST_TEXT.started,BLOCK_REST_SKIP.started,BLOCK_REST_SKIP.keys,BLOCK_REST_SKIP.rt,participant,date,expName,psychopyVersion,frameRate,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,1,1,left,low,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.474707291985396,44.50068908298272,44.95709095799248,44.95709095799248,45.45828970798175,45.95464558299864,45.95464558299864,45.95749224998872,45.991841874987585,45.991841874987585,45.991841874987585,45.991841874987585,45.991841874987585,46.490386916993884,47.006030541990185,47.006030541990185,47.006030541990185,47.006030541990185,47.006030541990185,47.006030541990185,47.006030541990185,47.006030541990185,47.006030541990185,47.524250999995274,47.524250999995274,47.524250999995274,47.524250999995274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testll,2023-06-23_19h01.08.776,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,2,2,right,high,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.524250999995274,48.021201166993706,48.021201166993706,48.50843679197715,49.00658954199753,49.00658954199753,49.00446179197752,49.02107541699661,49.02107541699661,49.02107541699661,49.02107541699661,49.02107541699661,49.506924707995495,50.00734412498423,50.02419808297418,50.02419808297418,50.02419808297418,50.02419808297418,50.02419808297418,50.02419808297418,50.02419808297418,50.02419808297418,50.540423707978334,50.540423707978334,50.540423707978334,50.540423707978334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testll,2023-06-23_19h01.08.776,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,3,1,left,low,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.540423707978334,51.040163749974454,51.040163749974454,51.53989404198364,52.040277749998495,52.040277749998495,52.040277749998495,52.040277749998495,52.040277749998495,52.040277749998495,52.040277749998495,52.040277749998495,52.5212117919873,53.00729358298122,53.054477624973515,53.054477624973515,53.054477624973515,53.054477624973515,53.054477624973515,53.054477624973515,53.054477624973515,53.054477624973515,53.57259470797726,53.57259470797726,53.57259470797726,53.57259470797726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testll,2023-06-23_19h01.08.776,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,2,1,right,high,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.57259470797726,54.05682016699575,54.05682016699575,54.55713024997385,55.05466820797301,55.05466820797301,55.05466820797301,55.07527424997534,55.07527424997534,55.07527424997534,55.07527424997534,55.07527424997534,55.55675537500065,56.05439362497418,56.084991957992315,56.084991957992315,56.084991957992315,56.084991957992315,56.084991957992315,56.084991957992315,56.084991957992315,56.084991957992315,56.60771337497863,56.60771337497863,56.60771337497863,56.60771337497863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testll,2023-06-23_19h01.08.776,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,1,2,left,low,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.60771337497863,57.090273041976616,57.090273041976616,57.60633112498908,58.09001079198788,58.09001079198788,58.10654587499448,58.1213554579881,58.1213554579881,58.1213554579881,58.1213554579881,58.1213554579881,58.60473299998557,59.09007445798488,59.117361666983925,59.117361666983925,59.117361666983925,59.117361666983925,59.117361666983925,59.117361666983925,59.117361666983925,59.117361666983925,59.6394189169805,59.6394189169805,59.6394189169805,59.6394189169805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testll,2023-06-23_19h01.08.776,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,3,2,right,high,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.6394189169805,60.124195166979916,60.124195166979916,60.623752374987816,61.121299207996344,61.121299207996344,61.121299207996344,61.14183037498151,61.14183037498151,61.14183037498151,61.14183037498151,61.14183037498151,61.62340045798919,62.12399495797581,62.14986370797851,62.14986370797851,62.14986370797851,62.14986370797851,62.14986370797851,62.14986370797851,62.14986370797851,62.14986370797851,62.675137791986344,62.675137791986344,62.675137791986344,62.675137791986344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testll,2023-06-23_19h01.08.776,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,1,1,left,low,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.675137791986344,63.156631374993594,63.156631374993594,63.6713134169986,64.1564408330014,64.1564408330014,64.17284445799305,64.18960933299968,64.18960933299968,64.18960933299968,64.18960933299968,64.18960933299968,64.6731327919988,65.17130816698773,65.18750983299105,65.18750983299105,65.18750983299105,65.18750983299105,65.18750983299105,65.18750983299105,65.18750983299105,65.18750983299105,65.70607704197755,65.70607704197755,65.70607704197755,65.70607704197755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testll,2023-06-23_19h01.08.776,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,3,1,right,high,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.70607704197755,66.19001912497333,66.19001912497333,66.69144495797809,67.18770616699476,67.18770616699476,67.18770616699476,67.20455254198168,67.20455254198168,67.20455254198168,67.20455254198168,67.20455254198168,67.68770887498977,68.19029708299786,68.20660429197596,68.20660429197596,68.20660429197596,68.20660429197596,68.20660429197596,68.20660429197596,68.20660429197596,68.20660429197596,68.72859174999758,68.72859174999758,68.72859174999758,68.72859174999758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testll,2023-06-23_19h01.08.776,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,2,2,left,low,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.72859174999758,69.2229619579739,69.2229619579739,69.72293087499565,70.22297170798993,70.22297170798993,70.22297170798993,70.23981445797835,70.23981445797835,70.23981445797835,70.23981445797835,70.23981445797835,70.72299708297942,71.22131537497626,71.25438358300016,71.25438358300016,71.25438358300016,71.25438358300016,71.25438358300016,71.25438358300016,71.25438358300016,71.25438358300016,71.78267720798613,71.78267720798613,71.78267720798613,71.78267720798613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testll,2023-06-23_19h01.08.776,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,,,,,,,,,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.78267720798613,73.79830641698209,74.27392229199177,74.27392229199177,74.27392229199177,74.77099270798499,74.77099270798499,74.77099270798499,74.80397062498378,None,0,74.80397062498378,74.80397062498378,74.80397062498378,74.80397062498378,75.3077731669764,75.3077731669764,75.3077731669764,75.3077731669764,75.3077731669764,75.3077731669764,75.3077731669764,75.3077731669764,75.82814129197504,75.82814129197504,75.82814129197504,75.82814129197504,,,,,,,,,,,,,,,,,,,,,,,,,,,,testll,2023-06-23_19h01.08.776,Pattern_1,2022.2.4,None,
