slf_file,obs_file,test_file,slf_condition,slf_pair_pat,slf_order_pat,slf_reward_left,slf_reward_right,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,SLF_INSTR.started,SLF_INSTR.stopped,SLF_FIX1.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_LEFT.stopped,SLF_IMG_RIGHT.stopped,SLF_IMG_RESP.stopped,SLF_FIX1.stopped,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_FIX2.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_FIX2.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,SLF_IMG_RESP.rt,SLF_CONF_LOW_BOX.started,SLF_CONF_LOW_TEXT.started,SLF_CONF_HIGH_BOX.started,SLF_CONF_HIGH_TEXT.started,SLF_CONF_RESP.started,SLF_CONF_LOW_BOX.stopped,SLF_CONF_LOW_TEXT.stopped,SLF_CONF_HIGH_BOX.stopped,SLF_CONF_HIGH_TEXT.stopped,SLF_CONF_RESP.stopped,SLF_CONF_RESP.keys,SLF_CONFFB_FRAME.started,SLF_CONFFB_CONF_LOW_BOX.started,SLF_CONFFB_CONF_LOW_TEXT.started,SLF_CONFFB_CONF_HIGH_BOX.started,SLF_CONFFB_CONF_HIGH_TEXT.started,SLF_CONFFB_FRAME.stopped,SLF_CONFFB_CONF_LOW_BOX.stopped,SLF_CONFFB_CONF_LOW_TEXT.stopped,SLF_CONFFB_CONF_HIGH_BOX.stopped,SLF_CONFFB_CONF_HIGH_TEXT.stopped,SLF_CONF_RESP.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,16.56991041699075,16.56991041699075,space,0.419072541029891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-23_17h23.27.135,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,1,1,30,40,0,0,0,0,0,0,0,0,,,,,,,,,20.02275966698653,22.048915708990535,22.048915708990535,22.506473958987044,22.506473958987044,22.506473958987044,22.99454099999275,22.99454099999275,22.99454099999275,23.064014792005764,None,0,23.064014792005764,23.064014792005764,23.064014792005764,23.064014792005764,23.57787541698781,23.57787541698781,23.57787541698781,23.57787541698781,23.57787541698781,23.57787541698781,23.57787541698781,23.57787541698781,24.100651999993715,24.100651999993715,24.100651999993715,24.100651999993715,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-23_17h23.27.135,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,2,2,50,40,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,24.100651999993715,24.57666537500336,24.57666537500336,24.57666537500336,,,,,left,0,24.921293833991513,24.921293833991513,24.921293833991513,24.921293833991513,25.41267141699791,25.41267141699791,25.41267141699791,25.41267141699791,,,,,,,,,0.3202032489934936,25.41267141699791,25.41267141699791,25.41267141699791,25.41267141699791,25.41267141699791,25.90642529199249,25.90642529199249,25.90642529199249,25.90642529199249,25.90642529199249,None,25.90642529199249,25.90642529199249,25.90642529199249,25.90642529199249,25.90642529199249,26.416760583990254,26.416760583990254,26.416760583990254,26.416760583990254,26.416760583990254,,testc,2023-06-23_17h23.27.135,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,2,2,50,40,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.416760583990254,26.416760583990254,26.416760583990254,26.416760583990254,26.93403637499432,26.93403637499432,26.93403637499432,26.93403637499432,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-23_17h23.27.135,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,3,1,50,30,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,26.93403637499432,27.409742499992717,27.409742499992717,27.409742499992717,,,,,right,0,27.454412416991545,27.454412416991545,27.454412416991545,27.454412416991545,27.944685249996837,27.944685249996837,27.944685249996837,27.944685249996837,,,,,,,,,0.01836658298270777,27.944685249996837,27.944685249996837,27.944685249996837,27.944685249996837,27.944685249996837,,,,,,left,28.212059709010646,28.212059709010646,28.212059709010646,28.212059709010646,28.212059709010646,28.72965625001234,28.72965625001234,28.72965625001234,28.72965625001234,28.72965625001234,0.2602505400136579,testc,2023-06-23_17h23.27.135,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,3,1,50,30,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.72965625001234,28.72965625001234,28.72965625001234,28.72965625001234,29.25278495901148,29.25278495901148,29.25278495901148,29.25278495901148,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-23_17h23.27.135,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,2,1,40,50,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,29.25278495901148,29.728005250013666,29.728005250013666,29.728005250013666,,,,,left,0,29.82108816699474,29.82108816699474,29.82108816699474,29.82108816699474,30.312619000003906,30.312619000003906,30.312619000003906,30.312619000003906,,,,,,,,,0.07336399899213575,30.312619000003906,30.312619000003906,30.312619000003906,30.312619000003906,30.312619000003906,,,,,,right,30.489739834010834,30.489739834010834,30.489739834010834,30.489739834010834,30.489739834010834,31.028290791990003,31.028290791990003,31.028290791990003,31.028290791990003,31.028290791990003,0.16432512403116561,testc,2023-06-23_17h23.27.135,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,2,1,40,50,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.028290791990003,31.028290791990003,31.028290791990003,31.028290791990003,31.562533874996006,31.562533874996006,31.562533874996006,31.562533874996006,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-23_17h23.27.135,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,1,2,40,30,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,31.562533874996006,32.03988774999743,32.03988774999743,32.03988774999743,,,,,right,0,32.15522549999878,32.15522549999878,32.15522549999878,32.15522549999878,32.6445034169883,32.6445034169883,32.6445034169883,32.6445034169883,,,,,,,,,0.09122574899811298,32.6445034169883,32.6445034169883,32.6445034169883,32.6445034169883,32.6445034169883,,,,,,right,32.82880795901292,32.82880795901292,32.82880795901292,32.82880795901292,32.82880795901292,33.36457670899108,33.36457670899108,33.36457670899108,33.36457670899108,33.36457670899108,0.17260395700577646,testc,2023-06-23_17h23.27.135,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,1,2,40,30,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36457670899108,33.36457670899108,33.36457670899108,33.36457670899108,33.898364499997115,33.898364499997115,33.898364499997115,33.898364499997115,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-23_17h23.27.135,Pattern_1,2022.2.4,None,
