slf_file,obs_file,test_file,slf_condition,slf_pair_pat,slf_order_pat,slf_reward_left,slf_reward_right,obs_condition,obs_pair_pat,obs_order_pat,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,ObsSequence.thisRepN,ObsSequence.thisTrialN,ObsSequence.thisN,ObsSequence.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,SLF_INSTR.started,SLF_FIX1.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_LEFT.stopped,SLF_IMG_RIGHT.stopped,SLF_IMG_RESP.stopped,SLF_FIX1.stopped,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_FIX2.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_FIX2.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,SLF_IMG_RESP.rt,SLF_CONF_LOW_BOX.started,SLF_CONF_LOW_TEXT.started,SLF_CONF_HIGH_BOX.started,SLF_CONF_HIGH_TEXT.started,SLF_CONF_RESP.started,SLF_CONF_LOW_BOX.stopped,SLF_CONF_LOW_TEXT.stopped,SLF_CONF_HIGH_BOX.stopped,SLF_CONF_HIGH_TEXT.stopped,SLF_CONF_RESP.stopped,SLF_CONF_RESP.keys,SLF_CONFFB_FRAME.started,SLF_CONFFB_CONF_LOW_BOX.started,SLF_CONFFB_CONF_LOW_TEXT.started,SLF_CONFFB_CONF_HIGH_BOX.started,SLF_CONFFB_CONF_HIGH_TEXT.started,SLF_CONFFB_FRAME.stopped,SLF_CONFFB_CONF_LOW_BOX.stopped,SLF_CONFFB_CONF_LOW_TEXT.stopped,SLF_CONFFB_CONF_HIGH_BOX.stopped,SLF_CONFFB_CONF_HIGH_TEXT.stopped,SLF_CONF_RESP.rt,OBS_INSTR.started,OBS_FIX.started,OBS_IMG_LEFT.started,OBS_IMG_RIGHT.started,OBS_IMGFB_FRAME.started,OBS_IMGFB_FRAME.stopped,OBS_IMG_LEFT.stopped,OBS_IMG_RIGHT.stopped,OBS_FIX.stopped,OBS_CONF_LOW_BOX.started,OBS_CONF_LOW_TEXT.started,OBS_CONF_HIGH_BOX.started,OBS_CONF_HIGH_TEXT.started,OBS_CONFFB_FRAME.started,OBS_CONFFB_FRAME.stopped,OBS_CONF_LOW_BOX.stopped,OBS_CONF_LOW_TEXT.stopped,OBS_CONF_HIGH_BOX.stopped,OBS_CONF_HIGH_TEXT.stopped,OBS_REWARD_FRAME.started,OBS_REWARD_IMG_LEFT.started,OBS_REWARD_IMG_RIGHT.started,OBS_REWARD_TEXT.started,OBS_REWARD_FRAME.stopped,OBS_REWARD_IMG_LEFT.stopped,OBS_REWARD_IMG_RIGHT.stopped,OBS_REWARD_TEXT.stopped,TEST_INSTR.started,participant,date,expName,psychopyVersion,frameRate,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,1,1,7,7,,,,,,,,,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,,,,35.462838499981444,35.947526999982074,35.947526999982074,35.947526999982074,,,,,right,0,36.04609108399018,36.04609108399018,36.04609108399018,36.04609108399018,36.53568566698232,36.53568566698232,36.53568566698232,36.53568566698232,,,,,,,,,0.07627624899032526,36.53568566698232,36.53568566698232,36.53568566698232,36.53568566698232,36.53568566698232,,,,,,right,36.9857684999879,36.9857684999879,36.9857684999879,36.9857684999879,36.9857684999879,37.519049124995945,37.519049124995945,37.519049124995945,37.519049124995945,37.519049124995945,0.44440383301116526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,1,1,7,7,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.519049124995945,37.519049124995945,37.519049124995945,37.519049124995945,38.04371558397543,38.04371558397543,38.04371558397543,38.04371558397543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,3,1,8,8,,,,,,,,,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,,,,38.04371558397543,38.53060358398943,38.53060358398943,38.53060358398943,,,,,right,0,38.56122270898777,38.56122270898777,38.56122270898777,38.56122270898777,39.05230445897905,39.05230445897905,39.05230445897905,39.05230445897905,,,,,,,,,0.01311687403358519,39.05230445897905,39.05230445897905,39.05230445897905,39.05230445897905,39.05230445897905,,,,,,right,39.16914087499026,39.16914087499026,39.16914087499026,39.16914087499026,39.16914087499026,39.70320974997594,39.70320974997594,39.70320974997594,39.70320974997594,39.70320974997594,0.10978695802623406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,3,1,8,8,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.70320974997594,39.70320974997594,39.70320974997594,39.70320974997594,40.22769108400098,40.22769108400098,40.22769108400098,40.22769108400098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,2,2,9,9,,,,,,,,,0,0,0,0,0,8,8,8,0,0,0,0,,,,,,,,,,40.22769108400098,40.7138988749939,40.7138988749939,40.7138988749939,,,,,right,0,41.01988804197754,41.01988804197754,41.01988804197754,41.01988804197754,41.51894708399777,41.51894708399777,41.51894708399777,41.51894708399777,,,,,,,,,0.2822968320106156,41.51894708399777,41.51894708399777,41.51894708399777,41.51894708399777,41.51894708399777,,,,,,right,41.83679404199938,41.83679404199938,41.83679404199938,41.83679404199938,41.83679404199938,42.39249283398385,42.39249283398385,42.39249283398385,42.39249283398385,42.39249283398385,0.31036645799758844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,0,2,2,9,9,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.39249283398385,42.39249283398385,42.39249283398385,42.39249283398385,42.94882512500044,42.94882512500044,42.94882512500044,42.94882512500044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,1,1,left,low,0,0.5,0.5,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.94882512500044,44.942467958986526,45.39948291698238,45.39948291698238,45.90064745899872,46.39704491698649,46.39704491698649,46.39704491698649,46.435909124993486,46.435909124993486,46.435909124993486,46.435909124993486,46.435909124993486,46.91824554197956,47.41619604200241,47.44904708399554,47.44904708399554,47.44904708399554,47.44904708399554,47.44904708399554,47.44904708399554,47.44904708399554,47.44904708399554,47.968693083996186,47.968693083996186,47.968693083996186,47.968693083996186,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,2,2,right,high,0,0.5,0.5,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.968693083996186,48.447011249983916,48.447011249983916,48.949544041999616,49.447179666982265,49.43299158397713,49.43299158397713,49.468386833992554,49.468386833992554,49.468386833992554,49.468386833992554,49.468386833992554,49.951518208981724,50.44713658399996,50.46624533398426,50.46624533398426,50.46624533398426,50.46624533398426,50.46624533398426,50.46624533398426,50.46624533398426,50.46624533398426,50.98158220900223,50.98158220900223,50.98158220900223,50.98158220900223,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,3,1,left,low,0,0.5,0.5,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.98158220900223,51.46697337497608,51.46697337497608,51.967121166992,52.46764045898453,52.46374720899621,52.46374720899621,52.48037662499701,52.48037662499701,52.48037662499701,52.48037662499701,52.48037662499701,52.96375141700264,53.45131962498999,53.485562249989016,53.485562249989016,53.485562249989016,53.485562249989016,53.485562249989016,53.485562249989016,53.485562249989016,53.485562249989016,54.01663120900048,54.01663120900048,54.01663120900048,54.01663120900048,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,2,1,right,high,0,0.5,0.5,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.01663120900048,54.50178974997834,54.50178974997834,55.00188470899593,55.503237083990825,55.503237083990825,55.503237083990825,55.51355979198706,55.51355979198706,55.51355979198706,55.51355979198706,55.51355979198706,56.00309370897594,56.51135462499224,56.51135462499224,56.51135462499224,56.51135462499224,56.51135462499224,56.51135462499224,56.51135462499224,56.51135462499224,56.51135462499224,57.03192795900395,57.03192795900395,57.03192795900395,57.03192795900395,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,1,2,left,low,0,0.5,0.5,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.03192795900395,57.515931624977384,57.515931624977384,58.01710454199929,58.51355129198055,58.51355129198055,58.51355129198055,58.53025991699542,58.53025991699542,58.53025991699542,58.53025991699542,58.53025991699542,59.013597958983155,59.49947795897606,59.52614887498203,59.52614887498203,59.52614887498203,59.52614887498203,59.52614887498203,59.52614887498203,59.52614887498203,59.52614887498203,60.047282958985306,60.047282958985306,60.047282958985306,60.047282958985306,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,3,2,right,high,0,0.5,0.5,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.047282958985306,60.53272029198706,60.53272029198706,61.03277304198127,61.53017895898665,61.53017895898665,61.53017895898665,61.53469374999986,61.53469374999986,61.53469374999986,61.53469374999986,61.53469374999986,62.017981749988394,62.517953208996914,62.53003629198065,62.53003629198065,62.53003629198065,62.53003629198065,62.53003629198065,62.53003629198065,62.53003629198065,62.53003629198065,63.048892541992245,63.048892541992245,63.048892541992245,63.048892541992245,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,1,1,left,low,0,0.5,0.5,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.048892541992245,63.53409370899317,63.53409370899317,64.03358054198907,64.53019150000182,64.5339772089792,64.5339772089792,64.5472145419917,64.5472145419917,64.5472145419917,64.5472145419917,64.5472145419917,65.03443491697544,65.53021566697862,65.54369429199141,65.54369429199141,65.54369429199141,65.54369429199141,65.54369429199141,65.54369429199141,65.54369429199141,65.54369429199141,66.07461637500091,66.07461637500091,66.07461637500091,66.07461637500091,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,3,1,right,high,0,0.5,0.5,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.07461637500091,66.54933749997872,66.54933749997872,67.05153599998448,67.71339091699338,67.71339091699338,67.71339091699338,67.71339091699338,67.71339091699338,67.71339091699338,67.71339091699338,67.71339091699338,68.2011195840023,68.69698683399474,68.70965224999236,68.70965224999236,68.70965224999236,68.70965224999236,68.70965224999236,68.70965224999236,68.70965224999236,68.70965224999236,69.2353827089828,69.2353827089828,69.2353827089828,69.2353827089828,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,2,2,left,low,0,0.5,0.5,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2353827089828,69.71585091698216,69.71585091698216,70.21788629199727,70.715846416977,70.71351570897968,70.71351570897968,70.73391275000176,70.73391275000176,70.73391275000176,70.73391275000176,70.73391275000176,71.2301632919989,71.71587004198227,71.74483429198153,71.74483429198153,71.74483429198153,71.74483429198153,71.74483429198153,71.74483429198153,71.74483429198153,71.74483429198153,72.29036845898372,72.29036845898372,72.29036845898372,72.29036845898372,,testf,2023-06-23_17h36.46.917,Pattern_1,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.29036845898372,,,,,,
