slf_file,obs_file,test_file,slf_condition,slf_pair_pat,slf_order_pat,slf_conf_pat,slf_reward_left,slf_reward_right,obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,test_condition,test_pair_pat,test_order_pat,test_conf_pat,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,ObsSequence.thisRepN,ObsSequence.thisTrialN,ObsSequence.thisN,ObsSequence.thisIndex,TestSequence.thisRepN,TestSequence.thisTrialN,TestSequence.thisN,TestSequence.thisIndex,TestSkip.thisRepN,TestSkip.thisTrialN,TestSkip.thisN,TestSkip.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,SLF_INSTR.started,SLF_IMG_FIX.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_LEFT.stopped,SLF_IMG_RIGHT.stopped,SLF_IMG_RESP.stopped,SLF_IMG_FIX.stopped,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_IMGFB_FIX.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_IMGFB_FIX.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,SLF_IMG_RESP.rt,SLF_CONF_FIX.started,SLF_CONF_LOW_BOX.started,SLF_CONF_LOW_TEXT.started,SLF_CONF_HIGH_BOX.started,SLF_CONF_HIGH_TEXT.started,SLF_CONF_RESP.started,SLF_CONF_RESP.keys,SLF_CONF_RESP.rt,SLF_CONFFB_FIX.started,SLF_CONFFB_FRAME.started,SLF_CONFFB_LOW_BOX.started,SLF_CONFFB_LOW_TEXT.started,SLF_CONFFB_HIGH_BOX.started,SLF_CONFFB_HIGH_TEXT.started,SLF_CONFFB_FIX.stopped,SLF_CONFFB_FRAME.stopped,SLF_CONFFB_LOW_BOX.stopped,SLF_CONFFB_LOW_TEXT.stopped,SLF_CONFFB_HIGH_BOX.stopped,SLF_CONFFB_HIGH_TEXT.stopped,OBS_INSTR.started,OBS_IMG_FIX.started,OBS_IMG_LEFT.started,OBS_IMG_RIGHT.started,OBS_IMGFB_FRAME.started,OBS_IMGFB_FRAME.stopped,OBS_IMG_LEFT.stopped,OBS_IMG_RIGHT.stopped,OBS_IMG_FIX.stopped,OBS_CONF_FIX.started,OBS_CONF_LOW_BOX.started,OBS_CONF_LOW_TEXT.started,OBS_CONF_HIGH_BOX.started,OBS_CONF_HIGH_TEXT.started,OBS_CONFFB_FRAME.started,OBS_CONFFB_FRAME.stopped,OBS_CONF_FIX.stopped,OBS_CONF_LOW_BOX.stopped,OBS_CONF_LOW_TEXT.stopped,OBS_CONF_HIGH_BOX.stopped,OBS_CONF_HIGH_TEXT.stopped,OBS_REWARD_FRAME.started,OBS_REWARD_IMG_LEFT.started,OBS_REWARD_IMG_RIGHT.started,OBS_REWARD_TEXT.started,OBS_REWARD_FRAME.stopped,OBS_REWARD_IMG_LEFT.stopped,OBS_REWARD_IMG_RIGHT.stopped,OBS_REWARD_TEXT.stopped,TEST_INSTR.started,TEST_INSTR.stopped,TEST_IMG_FIX.started,TEST_IMG_LEFT.started,TEST_IMG_RIGHT.started,TEST_IMG_RESP.started,TEST_IMG_LEFT.stopped,TEST_IMG_RIGHT.stopped,TEST_IMG_RESP.stopped,TEST_IMG_FIX.stopped,TEST_IMG_RESP.keys,TEST_IMG_RESP.corr,TEST_IMGFB_FIX.started,TEST_IMGFB_FRAME.started,TEST_IMGFB_IMG_LEFT.started,TEST_IMGFB_IMG_RIGHT.started,TEST_IMGFB_FIX.stopped,TEST_IMGFB_FRAME.stopped,TEST_IMGFB_IMG_LEFT.stopped,TEST_IMGFB_IMG_RIGHT.stopped,TEST_REWARD_FRAME.started,TEST_REWARD_IMG_LEFT.started,TEST_REWARD_IMG_RIGHT.started,TEST_REWARD_TEXT.started,TEST_REWARD_FRAME.stopped,TEST_REWARD_IMG_LEFT.stopped,TEST_REWARD_IMG_RIGHT.stopped,TEST_REWARD_TEXT.stopped,participant,date,expName,psychopyVersion,frameRate,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,2,2,1,50,45,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,40.69737333297962,41.16877658298472,41.16877658298472,41.16877658298472,41.465833083027974,41.465833083027974,41.465833083027974,41.49913262500195,None,0,41.49913262500195,41.49913262500195,41.49913262500195,41.49913262500195,42.49882333300775,42.49882333300775,42.49882333300775,42.49882333300775,42.49882333300775,42.49882333300775,42.49882333300775,42.49882333300775,42.84016566700302,42.84016566700302,42.84016566700302,42.84016566700302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,2,2,2,63,45,right,low,45,1.137860019088111,0.1210825353131101,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.84016566700302,43.14964904199587,43.602186875010375,43.602186875010375,44.73546170798363,45.73245112498989,45.73485095798969,45.73485095798969,45.7873652499984,45.7873652499984,45.7873652499984,45.7873652499984,45.7873652499984,45.7873652499984,45.90307637501974,46.89975295797922,46.94973787502386,46.94973787502386,46.94973787502386,46.94973787502386,46.94973787502386,46.94973787502386,46.94973787502386,46.94973787502386,46.94973787502386,47.29487120802514,47.29487120802514,47.29487120802514,47.29487120802514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,3,1,1,53,15,left,low,53,1.182594212648595,1.239309994590451,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.29487120802514,47.7694770420203,47.7694770420203,48.9536865419941,49.94939683302073,49.94939683302073,49.94939683302073,49.974806917016394,49.974806917016394,49.974806917016394,49.974806917016394,49.974806917016394,49.974806917016394,51.202496999991126,52.19929529202636,52.21993991697673,52.21993991697673,52.21993991697673,52.21993991697673,52.21993991697673,52.21993991697673,52.21993991697673,52.21993991697673,52.21993991697673,52.58508741698461,52.58508741698461,52.58508741698461,52.58508741698461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,1,1,2,35,46,right,low,46,1.535435221973659,0.39881564901611,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.58508741698461,53.053233916987665,53.053233916987665,54.589976874995045,55.58518500003265,55.58518500003265,55.58518500003265,55.621133833017666,55.621133833017666,55.621133833017666,55.621133833017666,55.621133833017666,55.621133833017666,56.015932541980874,57.00223112502135,57.03242829203373,57.03242829203373,57.03242829203373,57.03242829203373,57.03242829203373,57.03242829203373,57.03242829203373,57.03242829203373,57.03242829203373,57.358480916998815,57.358480916998815,57.358480916998815,57.358480916998815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,3,2,1,23,46,left,low,23,0.7336790982121868,0.2231343744844985,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.358480916998815,57.835603291983716,57.835603291983716,58.56864758301526,59.56579187500756,59.56835566699738,59.56835566699738,59.58738137502223,59.58738137502223,59.58738137502223,59.58738137502223,59.58738137502223,59.58738137502223,59.80275058298139,60.79904179199366,60.81306383298943,60.81306383298943,60.81306383298943,60.81306383298943,60.81306383298943,60.81306383298943,60.81306383298943,60.81306383298943,60.81306383298943,61.139403707988095,61.139403707988095,61.139403707988095,61.139403707988095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,1,2,1,45,20,right,low,20,1.48414291351069,1.169699929432276,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139403707988095,61.6180208750302,61.6180208750302,63.101856207998935,64.09904545801692,64.09904545801692,64.09904545801692,64.12158849998377,64.12158849998377,64.12158849998377,64.12158849998377,64.12158849998377,64.12158849998377,65.28613395802677,66.28246762498748,66.2983149170177,66.2983149170177,66.2983149170177,66.2983149170177,66.2983149170177,66.2983149170177,66.2983149170177,66.2983149170177,66.2983149170177,66.63371687498875,66.63371687498875,66.63371687498875,66.63371687498875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,2,1,2,43,53,right,low,53,0.9448328625272091,0.4718925370411068,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.63371687498875,67.10175016702851,67.10175016702851,68.05344120803056,69.05128050001804,69.03474299999652,69.03474299999652,69.07002745801583,69.07002745801583,69.07002745801583,69.07002745801583,69.07002745801583,69.07002745801583,69.53637112502474,70.5323395000305,70.5485635829973,70.5485635829973,70.5485635829973,70.5485635829973,70.5485635829973,70.5485635829973,70.5485635829973,70.5485635829973,70.5485635829973,70.87404895800864,70.87404895800864,70.87404895800864,70.87404895800864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,3,1,1,48,45,left,high,48,0.8836401145992754,0.6923702641804376,,,,,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.87404895800864,71.35136558301747,71.35136558301747,72.23610479198396,73.2322813749779,73.2322813749779,73.2322813749779,73.25444716698257,73.25444716698257,73.25444716698257,73.25444716698257,73.25444716698257,73.25444716698257,73.93584550003288,74.93226729199523,74.94583600002807,74.94583600002807,74.94583600002807,74.94583600002807,74.94583600002807,74.94583600002807,74.94583600002807,74.94583600002807,74.94583600002807,75.27517354203155,75.27517354203155,75.27517354203155,75.27517354203155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,2,2,1,59,38,right,low,38,1.222356837029504,0.220061950931031,,,,,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.27517354203155,75.75129187502898,75.75129187502898,76.96852658299031,77.96564033301547,77.96889908303274,77.96889908303274,77.98647958302172,77.98647958302172,77.98647958302172,77.98647958302172,77.98647958302172,77.98647958302172,78.19892941700527,79.18530512502184,79.21519050002098,79.21519050002098,79.21519050002098,79.21519050002098,79.21519050002098,79.21519050002098,79.21519050002098,79.21519050002098,79.21519050002098,79.54100124997785,79.54100124997785,79.54100124997785,79.54100124997785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,1,1,2,32,34,right,low,34,1.275137733155847,0.6384044732453276,,,,,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.54100124997785,80.01842183299595,80.01842183299595,81.29882133298088,82.284914207994,82.284914207994,82.284914207994,82.30361895798706,82.30361895798706,82.30361895798706,82.30361895798706,82.30361895798706,82.30361895798706,82.93558333301917,83.93217166699469,83.94678129203385,83.94678129203385,83.94678129203385,83.94678129203385,83.94678129203385,83.94678129203385,83.94678129203385,83.94678129203385,83.94678129203385,84.29571437498089,84.29571437498089,84.29571437498089,84.29571437498089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,,,,,,,,,,,,3,3,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.29571437498089,84.61220566701377,84.61220566701377,85.05144062498584,85.05144062498584,85.05144062498584,85.34879708301742,85.34879708301742,85.34879708301742,85.41706250002608,None,0,85.41706250002608,85.41706250002608,85.41706250002608,85.41706250002608,86.4190342919901,86.4190342919901,86.4190342919901,86.4190342919901,86.4190342919901,86.4190342919901,86.4190342919901,86.4190342919901,86.75251875002868,86.75251875002868,86.75251875002868,86.75251875002868,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.75251875002868,87.23226479202276,87.23226479202276,87.23226479202276,87.51816104201134,87.51816104201134,87.51816104201134,87.56490583298728,None,0,87.56490583298728,87.56490583298728,87.56490583298728,87.56490583298728,,,,,,,,,,,,,,,,,,
