slf_file,obs_file,test_file,slf_condition,slf_pair_pat,slf_order_pat,slf_reward_left,slf_reward_right,obs_condition,obs_pair_pat,obs_order_pat,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,test_condition,test_pair_pat,test_order_pat,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,ObsSequence.thisRepN,ObsSequence.thisTrialN,ObsSequence.thisN,ObsSequence.thisIndex,TestSequence.thisRepN,TestSequence.thisTrialN,TestSequence.thisN,TestSequence.thisIndex,TestSkip.thisRepN,TestSkip.thisTrialN,TestSkip.thisN,TestSkip.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,SLF_INSTR.started,SLF_INSTR.stopped,SLF_FIX1.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_LEFT.stopped,SLF_IMG_RIGHT.stopped,SLF_IMG_RESP.stopped,SLF_FIX1.stopped,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_FIX2.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_FIX2.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,OBS_INSTR.started,OBS_FIX.started,OBS_IMG_LEFT.started,OBS_IMG_RIGHT.started,OBS_IMGFB_FRAME.started,OBS_IMGFB_FRAME.stopped,OBS_IMG_LEFT.stopped,OBS_IMG_RIGHT.stopped,OBS_FIX.stopped,OBS_CONF_LOW_BOX.started,OBS_CONF_LOW_TEXT.started,OBS_CONF_HIGH_BOX.started,OBS_CONF_HIGH_TEXT.started,OBS_CONFFB_FRAME.started,OBS_CONFFB_FRAME.stopped,OBS_CONF_LOW_BOX.stopped,OBS_CONF_LOW_TEXT.stopped,OBS_CONF_HIGH_BOX.stopped,OBS_CONF_HIGH_TEXT.stopped,OBS_REWARD_FRAME.started,OBS_REWARD_IMG_LEFT.started,OBS_REWARD_IMG_RIGHT.started,OBS_REWARD_TEXT.started,OBS_REWARD_FRAME.stopped,OBS_REWARD_IMG_LEFT.stopped,OBS_REWARD_IMG_RIGHT.stopped,OBS_REWARD_TEXT.stopped,TEST_INSTR.started,TEST_FIX1.started,TEST_IMG_LEFT.started,TEST_IMG_RIGHT.started,TEST_IMG_RESP.started,TEST_IMG_LEFT.stopped,TEST_IMG_RIGHT.stopped,TEST_IMG_RESP.stopped,TEST_FIX1.stopped,TEST_IMG_RESP.keys,TEST_IMG_RESP.corr,TEST_FIX2.started,TEST_IMGFB_FRAME.started,TEST_IMGFB_IMG_LEFT.started,TEST_IMGFB_IMG_RIGHT.started,TEST_FIX2.stopped,TEST_IMGFB_FRAME.stopped,TEST_IMGFB_IMG_LEFT.stopped,TEST_IMGFB_IMG_RIGHT.stopped,TEST_REWARD_FRAME.started,TEST_REWARD_IMG_LEFT.started,TEST_REWARD_IMG_RIGHT.started,TEST_REWARD_TEXT.started,TEST_REWARD_FRAME.stopped,TEST_REWARD_IMG_LEFT.stopped,TEST_REWARD_IMG_RIGHT.stopped,TEST_REWARD_TEXT.stopped,BLOCK_REST_TEXT.started,BLOCK_REST_SKIP.started,BLOCK_REST_SKIP.keys,BLOCK_REST_SKIP.rt,participant,date,expName,psychopyVersion,frameRate,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,1,1,left,low,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.201871083001606,26.220921207976062,26.278981417010073,26.278981417010073,26.779111582960468,26.865770749980584,26.865770749980584,26.865770749980584,26.917709457979072,26.917709457979072,26.917709457979072,26.917709457979072,26.917709457979072,27.0011122499709,27.095685999956913,27.53132245800225,27.53132245800225,27.53132245800225,27.53132245800225,27.53132245800225,27.53132245800225,27.53132245800225,27.53132245800225,27.650888042000588,27.650888042000588,27.650888042000588,27.650888042000588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testl,2023-06-23_19h20.04.187,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,2,2,right,high,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.650888042000588,27.73259779199725,27.73259779199725,28.232832417008467,28.329142582952045,28.329142582952045,28.329142582952045,28.349793999979738,28.349793999979738,28.349793999979738,28.349793999979738,28.349793999979738,28.432460957963485,28.529048207972664,28.951146749954205,28.951146749954205,28.951146749954205,28.951146749954205,28.951146749954205,28.951146749954205,28.951146749954205,28.951146749954205,29.07892587495735,29.07892587495735,29.07892587495735,29.07892587495735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testl,2023-06-23_19h20.04.187,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,3,1,left,low,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.07892587495735,29.162371291953605,29.162371291953605,29.662338791997172,29.75003154197475,29.75003154197475,29.75003154197475,29.766945916984696,29.766945916984696,29.766945916984696,29.766945916984696,29.766945916984696,29.850834291952197,29.94571812497452,30.36220237496309,30.36220237496309,30.36220237496309,30.36220237496309,30.36220237496309,30.36220237496309,30.36220237496309,30.36220237496309,30.4828538330039,30.4828538330039,30.4828538330039,30.4828538330039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testl,2023-06-23_19h20.04.187,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,2,1,right,high,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4828538330039,30.562379999959376,30.562379999959376,31.06235379196005,31.149903291952796,31.149903291952796,31.149903291952796,31.179049792001024,31.179049792001024,31.179049792001024,31.179049792001024,31.179049792001024,31.26232037495356,31.349849791964516,31.776695124979597,31.776695124979597,31.776695124979597,31.776695124979597,31.776695124979597,31.776695124979597,31.776695124979597,31.776695124979597,31.89637666696217,31.89637666696217,31.89637666696217,31.89637666696217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testl,2023-06-23_19h20.04.187,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,1,2,left,low,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.89637666696217,31.983074666990433,31.983074666990433,32.48287112498656,32.5790611669654,32.5790611669654,32.5790611669654,32.58304624998709,32.58304624998709,32.58304624998709,32.58304624998709,32.58304624998709,32.6656765419757,32.76239624997834,33.17893641698174,33.17893641698174,33.17893641698174,33.17893641698174,33.17893641698174,33.17893641698174,33.17893641698174,33.17893641698174,33.29701474995818,33.29701474995818,33.29701474995818,33.29701474995818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testl,2023-06-23_19h20.04.187,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,3,2,right,high,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.29701474995818,33.38257145800162,33.38257145800162,33.88227837497834,33.9790774579742,33.9790774579742,33.9790774579742,33.99571762495907,33.99571762495907,33.99571762495907,33.99571762495907,33.99571762495907,34.079045166959986,34.165709832974244,34.59129816695349,34.59129816695349,34.59129816695349,34.59129816695349,34.59129816695349,34.59129816695349,34.59129816695349,34.59129816695349,34.71806970797479,34.71806970797479,34.71806970797479,34.71806970797479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testl,2023-06-23_19h20.04.187,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,1,1,left,low,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.71806970797479,34.79934637498809,34.79934637498809,35.30012954195263,35.39962229196681,35.39568266697461,35.39568266697461,35.41666866699234,35.41666866699234,35.41666866699234,35.41666866699234,35.41666866699234,35.5000127920066,35.59569912496954,36.02913312497549,36.02913312497549,36.02913312497549,36.02913312497549,36.02913312497549,36.02913312497549,36.02913312497549,36.02913312497549,36.149611499975435,36.149611499975435,36.149611499975435,36.149611499975435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testl,2023-06-23_19h20.04.187,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,3,1,right,high,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.149611499975435,36.23314899997786,36.23314899997786,36.73281999997562,36.82901958300499,36.82901958300499,36.82901958300499,36.84570837498177,36.84570837498177,36.84570837498177,36.84570837498177,36.84570837498177,36.93245837499853,37.0290044999565,37.4410894580069,37.4410894580069,37.4410894580069,37.4410894580069,37.4410894580069,37.4410894580069,37.4410894580069,37.4410894580069,37.56682570796693,37.56682570796693,37.56682570796693,37.56682570796693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testl,2023-06-23_19h20.04.187,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,0,2,2,left,low,0,0.5,0.5,,,,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.56682570796693,37.65004883299116,37.65004883299116,38.148972249997314,38.24570883298293,38.24570883298293,38.24570883298293,38.265861749998294,38.265861749998294,38.265861749998294,38.265861749998294,38.265861749998294,38.349278791982215,38.445700207958,38.86584024998592,38.86584024998592,38.86584024998592,38.86584024998592,38.86584024998592,38.86584024998592,38.86584024998592,38.86584024998592,38.99245866696583,38.99245866696583,38.99245866696583,38.99245866696583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testl,2023-06-23_19h20.04.187,Pattern_1,2022.2.4,None,
slf11.xlsx,obs11.xlsx,test11.xlsx,,,,,,,,,,,,,,1,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.99245866696583,41.005059791961685,41.06582208297914,41.06582208297914,41.06582208297914,41.1623761249939,41.1623761249939,41.1623761249939,41.211713875003625,None,0,41.211713875003625,41.211713875003625,41.211713875003625,41.211713875003625,41.31628358300077,41.31628358300077,41.31628358300077,41.31628358300077,41.31628358300077,41.31628358300077,41.31628358300077,41.31628358300077,41.537641041970346,41.537641041970346,41.537641041970346,41.537641041970346,,,,,testl,2023-06-23_19h20.04.187,Pattern_1,2022.2.4,None,
