test_condition,test_pair_pat,test_order_pat,test_conf_pat,n,TEST_IMG_RESP.corr_mean,TEST_IMG_RESP.corr_raw,TEST_IMG_RESP.corr_std,TEST_IMG_RESP.keys_raw,TEST_IMG_RESP.rt_mean,TEST_IMG_RESP.rt_raw,TEST_IMG_RESP.rt_std,order
3,3,2,1,1.0,0.0,0.0,0.0,'right',2.667724847793579,2.667724847793579,0.0,0.0
1,1,1,2,1.0,0.0,0.0,0.0,'right',1.1487772464752197,1.1487772464752197,0.0,1.0
4,5,0,1,1.0,0.0,0.0,0.0,'right',1.724892020225525,1.724892020225525,0.0,2.0
2,2,2,2,1.0,0.0,0.0,0.0,'left',0.7178651094436646,0.7178651094436646,0.0,3.0
3,1,1,2,1.0,0.0,0.0,0.0,'right',1.1835086345672607,1.1835086345672607,0.0,4.0
4,3,2,2,1.0,0.0,0.0,0.0,'right',0.8853950500488281,0.8853950500488281,0.0,5.0
1,2,1,1,1.0,0.0,0.0,0.0,'right',0.8684483170509338,0.8684483170509338,0.0,6.0
3,6,0,2,1.0,0.0,0.0,0.0,'left',0.6877741813659668,0.6877741813659668,0.0,7.0
2,3,2,2,1.0,0.0,0.0,0.0,'right',0.8043868541717529,0.8043868541717529,0.0,8.0
4,1,1,1,1.0,0.0,0.0,0.0,'left',1.7577122449874878,1.7577122449874878,0.0,9.0
3,2,2,1,1.0,0.0,0.0,0.0,'left',0.9064915180206299,0.9064915180206299,0.0,10.0
1,3,1,2,1.0,0.0,0.0,0.0,'left',1.1631368398666382,1.1631368398666382,0.0,11.0
4,1,2,2,1.0,0.0,0.0,0.0,'left',2.0383243560791016,2.0383243560791016,0.0,12.0
2,1,2,1,1.0,0.0,0.0,0.0,'right',2.237867593765259,2.237867593765259,0.0,13.0
3,3,1,2,1.0,0.0,0.0,0.0,'left',1.0720300674438477,1.0720300674438477,0.0,14.0
4,4,0,2,1.0,0.0,0.0,0.0,'left',1.0874325037002563,1.0874325037002563,0.0,15.0
1,3,2,2,1.0,0.0,0.0,0.0,'right',0.7691692113876343,0.7691692113876343,0.0,16.0
3,5,0,1,1.0,0.0,0.0,0.0,'left',1.6032581329345703,1.6032581329345703,0.0,17.0
2,1,1,1,1.0,0.0,0.0,0.0,'left',1.2710140943527222,1.2710140943527222,0.0,18.0
4,3,1,1,1.0,0.0,0.0,0.0,'left',0.8238310217857361,0.8238310217857361,0.0,19.0
3,1,2,2,1.0,0.0,0.0,0.0,'left',0.9002397656440735,0.9002397656440735,0.0,20.0
1,2,2,2,1.0,0.0,0.0,0.0,'left',0.762860119342804,0.762860119342804,0.0,21.0
4,6,0,2,1.0,0.0,0.0,0.0,'left',0.5731398463249207,0.5731398463249207,0.0,22.0
2,2,1,1,1.0,0.0,0.0,0.0,'right',0.6690931916236877,0.6690931916236877,0.0,23.0
3,2,1,1,1.0,0.0,0.0,0.0,'right',0.5622859597206116,0.5622859597206116,0.0,24.0
4,2,2,1,1.0,0.0,0.0,0.0,'left',0.6015068888664246,0.6015068888664246,0.0,25.0
1,1,2,2,1.0,0.0,0.0,0.0,'left',0.7931644320487976,0.7931644320487976,0.0,26.0
3,4,0,1,1.0,0.0,0.0,0.0,'left',0.5335337519645691,0.5335337519645691,0.0,27.0
2,3,1,2,1.0,0.0,0.0,0.0,'left',0.7805289030075073,0.7805289030075073,0.0,28.0
4,2,1,1,1.0,0.0,0.0,0.0,'right',0.6342823505401611,0.6342823505401611,0.0,29.0

extraInfo
participant,shiga
date,2023-06-28_16h49.23.505
expName,Pattern_3
psychopyVersion,2022.2.4
frameRate,None
﻿test_condition,test_pair_pat,test_order_pat,test_conf_pat,n,TEST_IMG_RESP.corr_mean,TEST_IMG_RESP.corr_raw,TEST_IMG_RESP.corr_std,TEST_IMG_RESP.keys_raw,TEST_IMG_RESP.rt_mean,TEST_IMG_RESP.rt_raw,TEST_IMG_RESP.rt_std,order
4,4,0,2,1.0,0.0,0.0,0.0,'left',2.1637766361236572,2.1637766361236572,0.0,0.0
1,3,2,2,1.0,0.0,0.0,0.0,'right',0.8048465847969055,0.8048465847969055,0.0,1.0
3,5,0,1,1.0,0.0,0.0,0.0,'left',1.4186235666275024,1.4186235666275024,0.0,2.0
2,1,1,2,1.0,0.0,0.0,0.0,'left',1.5656945705413818,1.5656945705413818,0.0,3.0
4,3,1,2,1.0,0.0,0.0,0.0,'left',0.702943742275238,0.702943742275238,0.0,4.0
3,1,2,1,1.0,0.0,0.0,0.0,'left',1.199684977531433,1.199684977531433,0.0,5.0
1,2,2,1,1.0,0.0,0.0,0.0,'left',0.7844700217247009,0.7844700217247009,0.0,6.0
4,6,0,2,1.0,0.0,0.0,0.0,'left',0.8209811449050903,0.8209811449050903,0.0,7.0
2,2,1,2,1.0,0.0,0.0,0.0,'right',0.6476315259933472,0.6476315259933472,0.0,8.0
3,2,1,1,1.0,0.0,0.0,0.0,'right',0.6977669596672058,0.6977669596672058,0.0,9.0
4,2,2,2,1.0,0.0,0.0,0.0,'left',0.6248161792755127,0.6248161792755127,0.0,10.0
1,1,2,2,1.0,0.0,0.0,0.0,'left',1.0714492797851562,1.0714492797851562,0.0,11.0
3,4,0,2,1.0,0.0,0.0,0.0,'right',1.5786991119384766,1.5786991119384766,0.0,12.0
2,3,1,1,1.0,0.0,0.0,0.0,'left',0.7123576402664185,0.7123576402664185,0.0,13.0
4,2,1,1,1.0,0.0,0.0,0.0,'right',0.6714071035385132,0.6714071035385132,0.0,14.0
3,3,2,1,1.0,0.0,0.0,0.0,'right',0.7225540280342102,0.7225540280342102,0.0,15.0
1,1,1,2,1.0,0.0,0.0,0.0,'right',0.8622553944587708,0.8622553944587708,0.0,16.0
4,5,0,2,1.0,0.0,0.0,0.0,'right',1.4682905673980713,1.4682905673980713,0.0,17.0
2,2,2,2,1.0,0.0,0.0,0.0,'left',0.7774360179901123,0.7774360179901123,0.0,18.0
3,1,1,1,1.0,0.0,0.0,0.0,'right',0.7918649315834045,0.7918649315834045,0.0,19.0
4,3,2,1,1.0,0.0,0.0,0.0,'right',0.7290782928466797,0.7290782928466797,0.0,20.0
1,2,1,1,1.0,0.0,0.0,0.0,'right',0.7460530996322632,0.7460530996322632,0.0,21.0
3,6,0,2,1.0,0.0,0.0,0.0,'right',1.4620333909988403,1.4620333909988403,0.0,22.0
2,3,2,1,1.0,0.0,0.0,0.0,'right',0.5697575211524963,0.5697575211524963,0.0,23.0
4,1,1,2,1.0,0.0,0.0,0.0,'right',2.2118797302246094,2.2118797302246094,0.0,24.0
3,2,2,1,1.0,0.0,0.0,0.0,'left',0.8632312417030334,0.8632312417030334,0.0,25.0
1,3,1,2,1.0,0.0,0.0,0.0,'left',1.1536178588867188,1.1536178588867188,0.0,26.0
4,1,2,1,1.0,0.0,0.0,0.0,'left',1.0828893184661865,1.0828893184661865,0.0,27.0
2,1,2,1,1.0,0.0,0.0,0.0,'left',3.6585922241210938,3.6585922241210938,0.0,28.0
3,3,1,1,1.0,0.0,0.0,0.0,'left',0.6024587154388428,0.6024587154388428,0.0,29.0

extraInfo
participant,shiga
date,2023-06-28_16h49.23.505
expName,Pattern_3
psychopyVersion,2022.2.4
frameRate,None
﻿test_condition,test_pair_pat,test_order_pat,test_conf_pat,n,TEST_IMG_RESP.corr_mean,TEST_IMG_RESP.corr_raw,TEST_IMG_RESP.corr_std,TEST_IMG_RESP.keys_raw,TEST_IMG_RESP.rt_mean,TEST_IMG_RESP.rt_raw,TEST_IMG_RESP.rt_std,order
3,3,1,2,1.0,0.0,0.0,0.0,'left',1.2318938970565796,1.2318938970565796,0.0,0.0
1,1,2,1,1.0,0.0,0.0,0.0,'left',1.2063194513320923,1.2063194513320923,0.0,1.0
4,5,0,1,1.0,0.0,0.0,0.0,'left',2.174058198928833,2.174058198928833,0.0,2.0
2,2,1,2,1.0,0.0,0.0,0.0,'right',0.8715224862098694,0.8715224862098694,0.0,3.0
3,1,2,2,1.0,0.0,0.0,0.0,'left',1.6951439380645752,1.6951439380645752,0.0,4.0
4,3,1,1,1.0,0.0,0.0,0.0,'left',0.755194365978241,0.755194365978241,0.0,5.0
1,2,2,2,1.0,0.0,0.0,0.0,'left',0.5643830299377441,0.5643830299377441,0.0,6.0
3,6,0,2,1.0,0.0,0.0,0.0,'right',0.8905105590820312,0.8905105590820312,0.0,7.0
2,3,1,2,1.0,0.0,0.0,0.0,'left',0.6551582217216492,0.6551582217216492,0.0,8.0
4,1,2,1,1.0,0.0,0.0,0.0,'left',0.8172237277030945,0.8172237277030945,0.0,9.0
3,2,1,1,1.0,0.0,0.0,0.0,'right',0.6002742052078247,0.6002742052078247,0.0,10.0
1,3,2,1,1.0,0.0,0.0,0.0,'right',0.5707632303237915,0.5707632303237915,0.0,11.0
4,1,1,2,1.0,0.0,0.0,0.0,'right',2.7189931869506836,2.7189931869506836,0.0,12.0
2,1,1,2,1.0,0.0,0.0,0.0,'right',2.7145426273345947,2.7145426273345947,0.0,13.0
3,3,2,2,1.0,0.0,0.0,0.0,'right',0.6491206288337708,0.6491206288337708,0.0,14.0
4,4,0,1,1.0,0.0,0.0,0.0,'left',1.083520531654358,1.083520531654358,0.0,15.0
1,3,1,1,1.0,0.0,0.0,0.0,'left',1.0691280364990234,1.0691280364990234,0.0,16.0
3,5,0,1,1.0,0.0,0.0,0.0,'left',1.8031567335128784,1.8031567335128784,0.0,17.0
2,1,2,2,1.0,0.0,0.0,0.0,'left',2.2674496173858643,2.2674496173858643,0.0,18.0
4,3,2,1,1.0,0.0,0.0,0.0,'right',0.6875259876251221,0.6875259876251221,0.0,19.0
3,1,1,2,1.0,0.0,0.0,0.0,'right',2.2504634857177734,2.2504634857177734,0.0,20.0
1,2,1,1,1.0,0.0,0.0,0.0,'right',0.6348151564598083,0.6348151564598083,0.0,21.0
4,6,0,2,1.0,0.0,0.0,0.0,'left',1.9545716047286987,1.9545716047286987,0.0,22.0
2,2,2,1,1.0,0.0,0.0,0.0,'left',0.8998802304267883,0.8998802304267883,0.0,23.0
3,2,2,1,1.0,0.0,0.0,0.0,'left',0.7062513828277588,0.7062513828277588,0.0,24.0
4,2,1,1,1.0,0.0,0.0,0.0,'right',0.6728260517120361,0.6728260517120361,0.0,25.0
1,1,1,2,1.0,0.0,0.0,0.0,'right',1.2769782543182373,1.2769782543182373,0.0,26.0
3,4,0,1,1.0,0.0,0.0,0.0,'right',1.2360113859176636,1.2360113859176636,0.0,27.0
2,3,2,1,1.0,0.0,0.0,0.0,'right',0.7130812406539917,0.7130812406539917,0.0,28.0
4,2,2,2,1.0,0.0,0.0,0.0,'left',0.9695234298706055,0.9695234298706055,0.0,29.0

extraInfo
participant,shiga
date,2023-06-28_16h49.23.505
expName,Pattern_3
psychopyVersion,2022.2.4
frameRate,None
﻿test_condition,test_pair_pat,test_order_pat,test_conf_pat,n,TEST_IMG_RESP.corr_mean,TEST_IMG_RESP.corr_raw,TEST_IMG_RESP.corr_std,TEST_IMG_RESP.keys_raw,TEST_IMG_RESP.rt_mean,TEST_IMG_RESP.rt_raw,TEST_IMG_RESP.rt_std,order
4,4,0,2,1.0,0.0,0.0,0.0,'left',1.7604174613952637,1.7604174613952637,0.0,0.0
1,3,1,1,1.0,0.0,0.0,0.0,'left',0.7119418382644653,0.7119418382644653,0.0,1.0
3,5,0,2,1.0,0.0,0.0,0.0,'left',0.9473913908004761,0.9473913908004761,0.0,2.0
2,1,2,2,1.0,0.0,0.0,0.0,'left',0.9035844802856445,0.9035844802856445,0.0,3.0
4,3,2,2,1.0,0.0,0.0,0.0,'right',0.6077558398246765,0.6077558398246765,0.0,4.0
3,1,1,1,1.0,0.0,0.0,0.0,'right',0.8916360139846802,0.8916360139846802,0.0,5.0
1,2,1,1,1.0,0.0,0.0,0.0,'right',0.5508419275283813,0.5508419275283813,0.0,6.0
4,6,0,1,1.0,0.0,0.0,0.0,'left',2.006563663482666,2.006563663482666,0.0,7.0
2,2,2,2,1.0,0.0,0.0,0.0,'left',0.9648450016975403,0.9648450016975403,0.0,8.0
3,2,2,2,1.0,0.0,0.0,0.0,'left',0.5712521076202393,0.5712521076202393,0.0,9.0
4,2,1,2,1.0,0.0,0.0,0.0,'right',0.7055779695510864,0.7055779695510864,0.0,10.0
1,1,1,1,1.0,0.0,0.0,0.0,'right',1.3382349014282227,1.3382349014282227,0.0,11.0
3,4,0,1,1.0,0.0,0.0,0.0,'right',1.6180680990219116,1.6180680990219116,0.0,12.0
2,3,2,1,1.0,0.0,0.0,0.0,'right',0.7098374366760254,0.7098374366760254,0.0,13.0
4,2,2,2,1.0,0.0,0.0,0.0,'left',0.7623276710510254,0.7623276710510254,0.0,14.0
3,3,1,1,1.0,0.0,0.0,0.0,'left',0.8462978601455688,0.8462978601455688,0.0,15.0
1,1,2,2,1.0,0.0,0.0,0.0,'left',1.6590827703475952,1.6590827703475952,0.0,16.0
4,5,0,1,1.0,0.0,0.0,0.0,'left',1.3885704278945923,1.3885704278945923,0.0,17.0
2,2,1,2,1.0,0.0,0.0,0.0,'right',0.762402355670929,0.762402355670929,0.0,18.0
3,1,2,1,1.0,0.0,0.0,0.0,'left',0.7942305207252502,0.7942305207252502,0.0,19.0
4,3,1,1,1.0,0.0,0.0,0.0,'left',0.6739067435264587,0.6739067435264587,0.0,20.0
1,2,2,1,1.0,0.0,0.0,0.0,'left',0.6226688623428345,0.6226688623428345,0.0,21.0
3,6,0,2,1.0,0.0,0.0,0.0,'right',1.6054468154907227,1.6054468154907227,0.0,22.0
2,3,1,1,1.0,0.0,0.0,0.0,'left',0.7282462120056152,0.7282462120056152,0.0,23.0
