slf_file,obs_file,test_file,n,BLOCK_REST_SKIP.keys_raw,BLOCK_REST_SKIP.rt_mean,BLOCK_REST_SKIP.rt_raw,BLOCK_REST_SKIP.rt_std,order
slf11.xlsx,obs14.xlsx,test11.xlsx,1.0,'space',1.7209903001785278,1.7209903001785278,0.0,0.0
slf12.xlsx,obs12.xlsx,test12.xlsx,1.0,'space',2.3270537853240967,2.3270537853240967,0.0,1.0
slf13.xlsx,obs13.xlsx,test13.xlsx,1.0,'space',2.783297538757324,2.783297538757324,0.0,2.0
slf14.xlsx,obs14.xlsx,test14.xlsx,1.0,'space',2.0633726119995117,2.0633726119995117,0.0,3.0

extraInfo
participant,testh
date,2023-06-23_19h51.56.103
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
