slf_file,obs_file,test_file,slf_condition,slf_pair_pat,slf_order_pat,slf_conf_pat,slf_reward_left,slf_reward_right,obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,test_condition,test_pair_pat,test_order_pat,test_conf_pat,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,ObsSequence.thisRepN,ObsSequence.thisTrialN,ObsSequence.thisN,ObsSequence.thisIndex,TestSequence.thisRepN,TestSequence.thisTrialN,TestSequence.thisN,TestSequence.thisIndex,TestSkip.thisRepN,TestSkip.thisTrialN,TestSkip.thisN,TestSkip.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,SLF_INSTR.started,SLF_IMG_FIX.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_LEFT.stopped,SLF_IMG_RIGHT.stopped,SLF_IMG_RESP.stopped,SLF_IMG_FIX.stopped,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_IMGFB_FIX.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_IMGFB_FIX.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,OBS_INSTR.started,OBS_IMG_FIX.started,OBS_IMG_LEFT.started,OBS_IMG_RIGHT.started,OBS_IMGFB_FRAME.started,OBS_IMGFB_FRAME.stopped,OBS_IMG_LEFT.stopped,OBS_IMG_RIGHT.stopped,OBS_IMG_FIX.stopped,OBS_CONF_FIX.started,OBS_CONF_LOW_BOX.started,OBS_CONF_LOW_TEXT.started,OBS_CONF_HIGH_BOX.started,OBS_CONF_HIGH_TEXT.started,OBS_CONFFB_FRAME.started,OBS_CONFFB_FRAME.stopped,OBS_CONF_LOW_BOX.stopped,OBS_CONF_LOW_TEXT.stopped,OBS_CONF_HIGH_BOX.stopped,OBS_CONF_HIGH_TEXT.stopped,OBS_CONF_FIX.stopped,OBS_REWARD_FRAME.started,OBS_REWARD_IMG_LEFT.started,OBS_REWARD_IMG_RIGHT.started,OBS_REWARD_TEXT.started,OBS_REWARD_FRAME.stopped,OBS_REWARD_IMG_LEFT.stopped,OBS_REWARD_IMG_RIGHT.stopped,OBS_REWARD_TEXT.stopped,TEST_INSTR.started,TEST_INSTR.stopped,TEST_IMG_FIX.started,TEST_IMG_LEFT.started,TEST_IMG_RIGHT.started,TEST_IMG_RESP.started,TEST_IMG_LEFT.stopped,TEST_IMG_RIGHT.stopped,TEST_IMG_RESP.stopped,TEST_IMG_FIX.stopped,TEST_IMG_RESP.keys,TEST_IMG_RESP.corr,TEST_IMGFB_FIX.started,TEST_IMGFB_FRAME.started,TEST_IMGFB_IMG_LEFT.started,TEST_IMGFB_IMG_RIGHT.started,TEST_IMGFB_FIX.stopped,TEST_IMGFB_FRAME.stopped,TEST_IMGFB_IMG_LEFT.stopped,TEST_IMGFB_IMG_RIGHT.stopped,TEST_REWARD_FRAME.started,TEST_REWARD_IMG_LEFT.started,TEST_REWARD_IMG_RIGHT.started,TEST_REWARD_TEXT.started,TEST_REWARD_FRAME.stopped,TEST_REWARD_IMG_LEFT.stopped,TEST_REWARD_IMG_RIGHT.stopped,TEST_REWARD_TEXT.stopped,participant,date,expName,psychopyVersion,frameRate,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,2,2,2,63,45,right,low,45,1.137860019088111,0.1210825353131101,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7864179169992,34.89594662497984,34.96588570799213,34.96588570799213,36.10020954196807,36.19684787496226,36.19970016699517,36.19970016699517,36.230078124965075,36.230078124965075,36.230078124965075,36.230078124965075,36.230078124965075,36.230078124965075,36.31353870796738,36.40051220799796,36.44686791696586,36.44686791696586,36.44686791696586,36.44686791696586,36.57607695797924,36.57607695797924,36.57607695797924,36.57607695797924,36.57607695797924,36.706267999950796,36.706267999950796,36.706267999950796,36.706267999950796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-27_18h23.21.067,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,3,1,1,53,15,left,low,53,1.182594212648595,1.239309994590451,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.706267999950796,36.783427291957196,36.783427291957196,37.966752249980345,38.063443541992456,38.063443541992456,38.063443541992456,38.08525420795195,38.08525420795195,38.08525420795195,38.08525420795195,38.08525420795195,38.08525420795195,38.16658295795787,38.26340137497755,39.416268999979366,39.416268999979366,39.416268999979366,39.416268999979366,39.527723207953386,39.527723207953386,39.527723207953386,39.527723207953386,39.527723207953386,39.65178820799338,39.65178820799338,39.65178820799338,39.65178820799338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-27_18h23.21.067,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,1,1,2,35,46,right,low,46,1.535435221973659,0.39881564901611,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.65178820799338,39.7321444999543,39.7321444999543,41.26633854198735,41.363194457953796,41.36554491700372,41.36554491700372,41.38480449997587,41.38480449997587,41.38480449997587,41.38480449997587,41.38480449997587,41.38480449997587,41.46786529198289,41.56344633299159,41.88019733299734,41.88019733299734,41.88019733299734,41.88019733299734,42.00959191698348,42.00959191698348,42.00959191698348,42.00959191698348,42.00959191698348,42.1863979579648,42.1863979579648,42.1863979579648,42.1863979579648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-27_18h23.21.067,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,3,2,1,23,46,left,low,23,0.7336790982121868,0.2231343744844985,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1863979579648,42.25103066698648,42.25103066698648,42.98454974999186,43.08041733299615,43.08041733299615,43.08041733299615,43.122958833002485,43.122958833002485,43.122958833002485,43.122958833002485,43.122958833002485,43.122958833002485,43.21346612495836,43.302243957994506,43.43385791697074,43.43385791697074,43.43385791697074,43.43385791697074,43.564952291955706,43.564952291955706,43.564952291955706,43.564952291955706,43.564952291955706,43.70944624999538,43.70944624999538,43.70944624999538,43.70944624999538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-27_18h23.21.067,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,1,2,1,45,20,right,low,20,1.48414291351069,1.169699929432276,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.70944624999538,43.783495166979264,43.783495166979264,45.2668835829827,45.363172374956775,45.36558304197388,45.36558304197388,45.38436670799274,45.38436670799274,45.38436670799274,45.38436670799274,45.38436670799274,45.38436670799274,45.46652583300602,45.56321454199497,46.64882000000216,46.64882000000216,46.64882000000216,46.64882000000216,46.76642112497939,46.76642112497939,46.76642112497939,46.76642112497939,46.76642112497939,46.88812874996802,46.88812874996802,46.88812874996802,46.88812874996802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-27_18h23.21.067,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,2,1,2,43,53,right,low,53,0.9448328625272091,0.4718925370411068,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.88812874996802,46.966141457960475,46.966141457960475,47.916341083007865,48.01326929195784,47.99903591698967,47.99903591698967,48.029794582980685,48.029794582980685,48.029794582980685,48.029794582980685,48.029794582980685,48.029794582980685,48.11306604195852,48.21316795796156,48.59949125000276,48.59949125000276,48.59949125000276,48.59949125000276,48.71103637496708,48.71103637496708,48.71103637496708,48.71103637496708,48.71103637496708,48.83493179199286,48.83493179199286,48.83493179199286,48.83493179199286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-27_18h23.21.067,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,3,1,1,48,45,left,high,48,0.8836401145992754,0.6923702641804376,,,,,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.83493179199286,48.9157955829869,48.9157955829869,49.80020949995378,49.8965699999826,49.8965699999826,49.8965699999826,49.91852133296197,49.91852133296197,49.91852133296197,49.91852133296197,49.91852133296197,49.91852133296197,49.99995966698043,50.09691933298018,50.701075082994066,50.701075082994066,50.701075082994066,50.701075082994066,50.82333604199812,50.82333604199812,50.82333604199812,50.82333604199812,50.82333604199812,50.987789874954615,50.987789874954615,50.987789874954615,50.987789874954615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-27_18h23.21.067,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,2,2,1,59,38,right,low,38,1.222356837029504,0.220061950931031,,,,,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.987789874954615,51.05087154195644,51.05087154195644,52.28326170798391,52.382722791982815,52.36537904199213,52.36537904199213,52.401334874972235,52.401334874972235,52.401334874972235,52.401334874972235,52.401334874972235,52.401334874972235,52.496349666966125,52.582994500000495,52.715238916978706,52.715238916978706,52.715238916978706,52.715238916978706,52.83247754198965,52.83247754198965,52.83247754198965,52.83247754198965,52.83247754198965,53.09656787500717,53.09656787500717,53.09656787500717,53.09656787500717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-27_18h23.21.067,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,0,1,1,2,32,34,right,low,34,1.275137733155847,0.6384044732453276,,,,,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.09656787500717,53.179700124950614,53.179700124950614,54.449575749982614,54.54651862499304,54.55004083295353,54.55004083295353,54.56708879198413,54.56708879198413,54.56708879198413,54.56708879198413,54.56708879198413,54.56708879198413,54.65006566699594,54.74650891695637,55.29868137498852,55.29868137498852,55.29868137498852,55.29868137498852,55.410512166970875,55.410512166970875,55.410512166970875,55.410512166970875,55.410512166970875,55.5427075829939,55.5427075829939,55.5427075829939,55.5427075829939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testc,2023-06-27_18h23.21.067,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,,,,,,,,,,,,,,,,,,3,3,1,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5427075829939,55.65467845799867,55.65467845799867,55.715767707966734,55.715767707966734,55.715767707966734,55.813155374955386,55.813155374955386,55.813155374955386,55.860403916973155,None,0,55.860403916973155,55.860403916973155,55.860403916973155,55.860403916973155,55.96231629198883,55.96231629198883,55.96231629198883,55.96231629198883,55.96231629198883,55.96231629198883,55.96231629198883,55.96231629198883,56.08968608296709,56.08968608296709,56.08968608296709,56.08968608296709,testc,2023-06-27_18h23.21.067,Pattern_1,2022.2.4,None,
